pert,gene,label,split
AARS,A2M,0,train
AARS,AASDH,0,train
AARS,ACBD6,0,train
AARS,ANGPTL8,1,train
AARS,APOOL,0,train
AARS,ARID3A,0,train
AARS,ATAD2B,0,train
AARS,ATP11C,0,train
AARS,BAZ2A,0,train
AARS,BCLAF1,0,train
AARS,BECN1,0,train
AARS,BMP2K,0,train
AARS,BTBD1,0,train
AARS,CALR,1,train
AARS,CBFA2T2,0,train
AARS,CCDC50,0,train
AARS,CCPG1,1,train
AARS,CEBPB,1,train
AARS,CHCHD4,0,train
AARS,COPA,0,train
AARS,CRYAB,0,train
AARS,DAAM1,0,train
AARS,DBI,1,train
AARS,DCUN1D3,0,train
AARS,EHBP1L1,0,train
AARS,EIF1,1,train
AARS,EIF4A2,0,train
AARS,FAM111A,0,train
AARS,FAM222A,0,train
AARS,FAM86C1,0,train
AARS,FKBP11,0,train
AARS,GARS,1,train
AARS,GHITM,1,train
AARS,GNAI1,0,train
AARS,GPHA2,0,train
AARS,GXYLT2,0,train
AARS,HCCS,0,train
AARS,HSPA9,1,train
AARS,ID2,0,train
AARS,IFFO2,0,train
AARS,IKBIP,0,train
AARS,INSR,0,train
AARS,ISCA1,0,train
AARS,ITFG2,0,train
AARS,KCNC3,0,train
AARS,LAMC1,0,train
AARS,LAMP1,0,train
AARS,LBX2,0,train
AARS,MAP3K2,0,train
AARS,MFSD1,0,train
AARS,MOSPD2,0,train
AARS,MTHFD2,1,train
AARS,NDEL1,0,train
AARS,NOC2L,0,train
AARS,NOL10,0,train
AARS,NOL8,0,train
AARS,NPC1,0,train
AARS,NR6A1,0,train
AARS,OTUD7B,0,train
AARS,PEBP1,1,train
AARS,PLS1,0,train
AARS,PLTP,0,train
AARS,PPP1CB,0,train
AARS,RAB22A,0,train
AARS,RAD54L,0,train
AARS,RBCK1,1,train
AARS,RCAN1,0,train
AARS,RCL1,0,train
AARS,RDH13,0,train
AARS,REPIN1,0,train
AARS,REX1BD,0,train
AARS,RNF149,0,train
AARS,RPL26,1,train
AARS,RPL7A,0,train
AARS,RYBP,0,train
AARS,SLC39A10,0,train
AARS,SLC6A14,0,train
AARS,SLC7A6,0,train
AARS,SMAD6,0,train
AARS,SMARCAD1,0,train
AARS,SMG1,0,train
AARS,SMIM1,0,train
AARS,SMPDL3A,0,train
AARS,SPHK1,0,train
AARS,SS18L1,0,train
AARS,SSX2IP,0,train
AARS,SURF1,0,train
AARS,TMEM68,0,train
AARS,TOM1,0,train
AARS,TPT1,1,train
AARS,TRA2B,0,train
AARS,TRAP1,0,train
AARS,TRIB3,1,train
AARS,TUBE1,0,train
AARS,UBIAD1,0,train
AARS,UBQLN1,0,train
AARS,UPF3A,0,train
AARS,UQCRH,0,train
AARS,USP22,0,train
AARS,WAPL,0,train
AARS,WDR5,0,train
AARS,WDR59,0,train
AARS,ZNHIT6,0,train
AASDHPPT,ACO2,0,train
AASDHPPT,ACTR8,0,train
AASDHPPT,ARAF,0,train
AASDHPPT,ASS1,0,train
AASDHPPT,ATG4D,0,train
AASDHPPT,BDH2,0,train
AASDHPPT,C3orf33,0,train
AASDHPPT,CENPK,0,train
AASDHPPT,CHFR,0,train
AASDHPPT,DDX19B,0,train
AASDHPPT,DGCR6L,0,train
AASDHPPT,EEF1AKNMT,0,train
AASDHPPT,ENDOD1,0,train
AASDHPPT,ETV6,0,train
AASDHPPT,FAAP24,0,train
AASDHPPT,FADS3,0,train
AASDHPPT,FOXA3,0,train
AASDHPPT,FUT8,0,train
AASDHPPT,GEMIN2,0,train
AASDHPPT,GOSR1,0,train
AASDHPPT,HAAO,0,train
AASDHPPT,HEXB,0,train
AASDHPPT,HIRA,0,train
AASDHPPT,ICE1,0,train
AASDHPPT,ISY1,0,train
AASDHPPT,ITGA1,0,train
AASDHPPT,ITIH2,0,train
AASDHPPT,KIAA0355,0,train
AASDHPPT,KISS1,0,train
AASDHPPT,LMAN2,0,train
AASDHPPT,LPCAT3,0,train
AASDHPPT,LRP10,0,train
AASDHPPT,MED21,0,train
AASDHPPT,METTL14,0,train
AASDHPPT,METTL17,0,train
AASDHPPT,MICOS10,0,train
AASDHPPT,MLEC,0,train
AASDHPPT,MNAT1,0,train
AASDHPPT,MYL12A,0,train
AASDHPPT,MYORG,0,train
AASDHPPT,NCBP1,0,train
AASDHPPT,NEMF,0,train
AASDHPPT,NUP98,0,train
AASDHPPT,OSTC,0,train
AASDHPPT,PALMD,0,train
AASDHPPT,PDCD6IP,0,train
AASDHPPT,PEMT,0,train
AASDHPPT,PLBD2,0,train
AASDHPPT,PLPP1,0,train
AASDHPPT,PNP,0,train
AASDHPPT,PSMC6,0,train
AASDHPPT,PTEN,0,train
AASDHPPT,PYROXD1,0,train
AASDHPPT,RAE1,0,train
AASDHPPT,RELL1,0,train
AASDHPPT,RILP,0,train
AASDHPPT,RNF139,0,train
AASDHPPT,RNF38,0,train
AASDHPPT,ROGDI,0,train
AASDHPPT,RPS25,0,train
AASDHPPT,RPUSD4,0,train
AASDHPPT,SCML1,0,train
AASDHPPT,SEC63,0,train
AASDHPPT,SELENOF,0,train
AASDHPPT,SEZ6L2,0,train
AASDHPPT,SLC16A6,0,train
AASDHPPT,SLC35C2,0,train
AASDHPPT,SNCG,0,train
AASDHPPT,TBC1D31,0,train
AASDHPPT,TEDC1,0,train
AASDHPPT,TFAP4,0,train
AASDHPPT,TINAGL1,0,train
AASDHPPT,TLE1,0,train
AASDHPPT,TMEM38A,0,train
AASDHPPT,TRAF3IP2,0,train
AASDHPPT,TRAPPC1,0,train
AASDHPPT,TUSC2,0,train
AASDHPPT,UBB,0,train
AASDHPPT,WDR83OS,0,train
AASDHPPT,WDYHV1,0,train
AASDHPPT,YIPF4,0,train
AASDHPPT,ZNF789,0,train
AATF,A2M,1,train
AATF,ABRACL,0,train
AATF,ACO2,0,train
AATF,AKAP9,0,train
AATF,AMBP,1,train
AATF,ANAPC4,0,train
AATF,ANKRD13D,0,train
AATF,ANTXR2,0,train
AATF,APOE,1,train
AATF,ARAP1,0,train
AATF,ATP6V0E1,0,train
AATF,ATP6V1E1,0,train
AATF,ATP7B,0,train
AATF,C12orf57,0,train
AATF,C3,1,train
AATF,CCDC150,0,train
AATF,CENPB,0,train
AATF,CEP76,0,train
AATF,CIAO1,0,train
AATF,CRTC2,0,train
AATF,CSNK2A1,0,train
AATF,CST3,1,train
AATF,DAG1,0,train
AATF,DDX19B,0,train
AATF,DHTKD1,0,train
AATF,DNAJC4,0,train
AATF,EEF1AKMT4,0,train
AATF,FDXR,1,train
AATF,FGG,0,train
AATF,FLOT1,0,train
AATF,FOXP1,0,train
AATF,GGA3,0,train
AATF,GLS,0,train
AATF,GPC3,1,train
AATF,GRWD1,0,train
AATF,GTF2F2,0,train
AATF,H2AFY,0,train
AATF,HMGA1,1,train
AATF,HNRNPA1,1,train
AATF,HSPA4L,0,train
AATF,ICE2,0,train
AATF,IKZF5,0,train
AATF,KDM2B,0,train
AATF,LMBR1,0,train
AATF,MAP2K1,0,train
AATF,MPV17,0,train
AATF,MRPL55,0,train
AATF,NCK2,0,train
AATF,NDUFAF3,0,train
AATF,NOP10,0,train
AATF,NSD2,0,train
AATF,NXF1,0,train
AATF,PAGR1,0,train
AATF,PCID2,0,train
AATF,PIGS,0,train
AATF,POLD2,0,train
AATF,PRR7,0,train
AATF,RAB24,0,train
AATF,RAB2B,0,train
AATF,RALA,0,train
AATF,RCOR1,0,train
AATF,ROGDI,0,train
AATF,RPL10A,1,train
AATF,RPL12,1,train
AATF,RPL23,1,train
AATF,RPS27L,1,train
AATF,RPS6KA1,0,train
AATF,RPS9,1,train
AATF,SEPSECS,0,train
AATF,SLC12A9,0,train
AATF,SLC6A6,0,train
AATF,SPRYD7,0,train
AATF,SQLE,0,train
AATF,SSR2,0,train
AATF,SUCO,0,train
AATF,SWAP70,0,train
AATF,TARS,0,train
AATF,TCF12,0,train
AATF,TMED6,0,train
AATF,TMEM218,0,train
AATF,TMEM50B,0,train
AATF,TMEM51,0,train
AATF,TOR1A,0,train
AATF,TRMT61A,0,train
AATF,TSTD3,0,train
AATF,TUBA1B,1,train
AATF,TXNDC5,0,train
AATF,UBA2,0,train
AATF,UBAC1,0,train
AATF,WDR73,0,train
