pert,gene,label,split
AAMP,AGPAT1,0,train
AAMP,ANAPC7,0,train
AAMP,ATG13,0,train
AAMP,ATP2B4,0,train
AAMP,AURKB,0,train
AAMP,BZW2,1,train
AAMP,C16orf58,0,train
AAMP,C18orf21,0,train
AAMP,C1orf21,0,train
AAMP,CD1E,1,train
AAMP,CD79A,0,train
AAMP,CHTOP,0,train
AAMP,CTSG,1,train
AAMP,CUEDC2,1,train
AAMP,DCAF7,0,train
AAMP,DPF2,0,train
AAMP,ECSIT,0,train
AAMP,EEF1AKMT4,0,train
AAMP,EEPD1,0,train
AAMP,EFTUD2,0,train
AAMP,EPHB6,0,train
AAMP,FAM104B,0,train
AAMP,FAM189B,0,train
AAMP,FERMT2,0,train
AAMP,FGFR1OP2,0,train
AAMP,GFPT1,0,train
AAMP,GIMAP5,0,train
AAMP,GPATCH2L,0,train
AAMP,GPBP1L1,0,train
AAMP,GSTP1,1,train
AAMP,HNRNPH1,0,train
AAMP,HOMER1,0,train
AAMP,HSPD1,1,train
AAMP,IFRD1,0,train
AAMP,ILK,0,train
AAMP,KDM4A,0,train
AAMP,KIF20A,0,train
AAMP,LAMTOR2,0,train
AAMP,LAPTM4B,0,train
AAMP,LCMT1,0,train
AAMP,LCOR,0,train
AAMP,LEF1,1,train
AAMP,LRRC61,0,train
AAMP,LTB4R,0,train
AAMP,LUC7L3,0,train
AAMP,MAL,0,train
AAMP,MAPK1,0,train
AAMP,MBD2,0,train
AAMP,MED21,0,train
AAMP,MESD,0,train
AAMP,MT-ATP6,1,train
AAMP,MT-CO3,1,train
AAMP,MT-ND3,1,train
AAMP,MT-ND5,1,train
AAMP,NOTCH1,0,train
AAMP,NT5C3A,0,train
AAMP,NUP58,0,train
AAMP,PHF21B,0,train
AAMP,PIK3C2A,0,train
AAMP,PLS1,0,train
AAMP,PMAIP1,0,train
AAMP,PPP1R14B,0,train
AAMP,PRDX1,1,train
AAMP,RALGAPA2,0,train
AAMP,RNF165,0,train
AAMP,RNF185,0,train
AAMP,RPL22L1,0,train
AAMP,RPL41,0,train
AAMP,RPS18,0,train
AAMP,RPS25,1,train
AAMP,RXRA,0,train
AAMP,SCPEP1,0,train
AAMP,SCRN1,0,train
AAMP,SH3BP2,0,train
AAMP,SIVA1,1,train
AAMP,SLC35E1,0,train
AAMP,SMIM10L1,0,train
AAMP,SPG21,0,train
AAMP,SPIN2B,0,train
AAMP,SUGT1,0,train
AAMP,TARBP2,0,train
AAMP,TAZ,0,train
AAMP,TBC1D10C,0,train
AAMP,TEX9,0,train
AAMP,TIA1,0,train
AAMP,TIGD5,0,train
AAMP,TIMM21,0,train
AAMP,TRAC,1,train
AAMP,TRMO,0,train
AAMP,TSPAN14,0,train
AAMP,TXNL4A,0,train
AAMP,UBXN8,0,train
AAMP,USP11,0,train
AAMP,UTP20,0,train
AAMP,VPS37A,0,train
AAMP,VTI1B,0,train
AAMP,YBX1,1,train
AAR2,ADAR,0,train
AAR2,ADK,0,train
AAR2,AIF1,0,train
AAR2,ANKRD11,0,train
AAR2,ARHGEF9,0,train
AAR2,ARRB1,0,train
AAR2,C20orf197,0,train
AAR2,C2orf69,0,train
AAR2,CBFA2T2,0,train
AAR2,CCDC74A,0,train
AAR2,CENPC,0,train
AAR2,COQ8A,0,train
AAR2,CSNK2A1,0,train
AAR2,CSTF3,0,train
AAR2,CYB5D1,0,train
AAR2,DNM1L,0,train
AAR2,ERCC6L,0,train
AAR2,ERG28,1,train
AAR2,EXOSC1,0,train
AAR2,FAM200A,0,train
AAR2,FANCI,0,train
AAR2,FARS2,0,train
AAR2,FDPS,1,train
AAR2,GLMP,0,train
AAR2,HMGCR,1,train
AAR2,HMGCS1,1,train
AAR2,HMGN2,0,train
AAR2,HSPE1,1,train
AAR2,IRF2BPL,0,train
AAR2,KDM6B,0,train
AAR2,LAMP1,0,train
AAR2,LIMS2,0,train
AAR2,LSM6,0,train
AAR2,MBNL3,0,train
AAR2,MED30,0,train
AAR2,MIER1,0,train
AAR2,MIER2,0,train
AAR2,MRPL24,0,train
AAR2,MTF1,0,train
AAR2,MTHFD1L,0,train
AAR2,MVD,1,train
AAR2,MYPOP,0,train
AAR2,NCAPH2,0,train
AAR2,NOVA1,0,train
AAR2,OGA,0,train
AAR2,OSBPL3,0,train
AAR2,PDE12,0,train
AAR2,PDS5A,0,train
AAR2,PECAM1,0,train
AAR2,PET100,0,train
AAR2,PFDN4,1,train
AAR2,PIAS1,0,train
AAR2,PIH1D1,0,train
AAR2,PMVK,0,train
AAR2,PRDX1,1,train
AAR2,PSMD2,0,train
AAR2,PTPRE,0,train
AAR2,PUM2,0,train
AAR2,PUM3,1,train
AAR2,RAB39B,0,train
AAR2,RAB5B,0,train
AAR2,RABEP2,0,train
AAR2,RINL,0,train
AAR2,RPL19,0,train
AAR2,RPL21,0,train
AAR2,RPL3,1,train
AAR2,RPL7A,1,train
AAR2,SCNM1,0,train
AAR2,SEC13,0,train
AAR2,SECISBP2L,0,train
AAR2,SLCO4A1,0,train
AAR2,SMYD4,0,train
AAR2,SNRPN,0,train
AAR2,SPCS1,0,train
AAR2,SPG21,0,train
AAR2,SSH1,0,train
AAR2,STIM1,0,train
AAR2,STRAP,0,train
AAR2,TIMM23B,0,train
AAR2,TPRN,0,train
AAR2,TPT1,1,train
AAR2,TRA2B,0,train
AAR2,UBE2K,0,train
AAR2,UBTD2,0,train
AAR2,UHRF1BP1L,0,train
AAR2,UQCRFS1,0,train
AAR2,WDR4,0,train
AAR2,ZNF292,0,train
AAR2,ZNF30,0,train
AAR2,ZNF451,0,train
AAR2,ZNF48,0,train
AAR2,ZNF747,0,train
AAR2,ZNF787,0,train
AARS,ABI2,0,train
AARS,ACO2,0,train
AARS,AFMID,0,train
AARS,ALOX5AP,0,train
AARS,ALS2,0,train
AARS,AMH,0,train
AARS,ANKS6,0,train
AARS,ATF5,1,train
AARS,ATP5IF1,0,train
AARS,C11orf1,0,train
AARS,C2orf49,0,train
AARS,CCDC66,0,train
AARS,CCDC84,0,train
AARS,CCNDBP1,0,train
AARS,CCNG2,0,train
AARS,CCT3,1,train
AARS,CENPW,1,train
AARS,CIB2,0,train
AARS,CYP2R1,0,train
AARS,DCAF7,0,train
AARS,DEDD,0,train
AARS,DNAJC2,0,train
AARS,DTD1,0,train
AARS,EIF1,1,train
AARS,EIF2AK4,0,train
AARS,ENTPD4,0,train
AARS,ERCC6L2,0,train
AARS,FAT1,0,train
AARS,FBXO45,0,train
AARS,FRS2,0,train
AARS,FYCO1,0,train
AARS,GAPDH,1,train
AARS,GBE1,0,train
AARS,GNPNAT1,0,train
AARS,HDLBP,0,train
AARS,HEATR6,0,train
AARS,HNRNPA2B1,1,train
AARS,HPS1,0,train
AARS,HSP90AA1,1,train
AARS,HSP90AB1,1,train
AARS,HSPD1,1,train
AARS,HSPE1,1,train
AARS,IFIH1,0,train
AARS,KATNB1,0,train
AARS,LATS1,0,train
AARS,LCK,0,train
AARS,LDHA,1,train
AARS,LUC7L3,0,train
AARS,MCFD2,0,train
AARS,MCOLN1,0,train
AARS,MIPEP,0,train
AARS,MPV17,0,train
AARS,MRPL35,0,train
AARS,MTA1,0,train
AARS,NDUFV3,0,train
AARS,NECTIN1,0,train
AARS,NFX1,0,train
AARS,NME1,1,train
AARS,NPC1,0,train
AARS,PAFAH1B1,0,train
AARS,PARP6,0,train
AARS,PCGF2,0,train
AARS,PCNT,0,train
AARS,PGAM5,0,train
AARS,PHB,1,train
AARS,PIGO,0,train
AARS,PPM1A,0,train
AARS,PRDX1,1,train
AARS,PRXL2C,0,train
AARS,PSMA1,0,train
AARS,PSMB4,0,train
AARS,PTMA,1,train
AARS,RCC2,0,train
AARS,SLC4A1AP,0,train
AARS,SLC7A1,0,train
AARS,SMIM10L1,0,train
AARS,SNX1,0,train
AARS,SNX8,0,train
AARS,SPPL2A,0,train
AARS,STARD10,0,train
AARS,STAT5A,0,train
AARS,TBRG4,0,train
AARS,TMEM161B,0,train
AARS,TMEM185B,0,train
AARS,TMEM9B,0,train
AARS,TNKS,0,train
AARS,TPT1,1,train
AARS,TRIM37,0,train
AARS,TUBA1B,1,train
AARS,TYW1,0,train
AARS,UCHL5,0,train
AARS,UNC119B,0,train
AARS,VPS72,0,train
AARS,ZNF131,0,train
AARS2,AGO4,0,train
AARS2,ANAPC11,0,train
AARS2,ARHGEF1,0,train
AARS2,ATP5IF1,0,train
AARS2,ATP6V0A2,0,train
AARS2,BET1L,0,train
AARS2,C1orf21,0,train
AARS2,CCDC25,0,train
AARS2,CD3E,0,train
AARS2,CHD9,0,train
AARS2,CHMP1B,0,train
AARS2,CTNNB1,0,train
AARS2,CUX1,0,train
AARS2,CYP20A1,0,train
AARS2,DDX39B,0,train
AARS2,DGLUCY,0,train
AARS2,EIF2B1,0,train
AARS2,FBRS,0,train
AARS2,FNDC3A,0,train
AARS2,GOLGA3,0,train
AARS2,H3F3A,0,train
AARS2,HBP1,0,train
AARS2,HDGFL3,0,train
AARS2,HIPK2,0,train
AARS2,HNRNPH2,0,train
AARS2,HPS5,0,train
AARS2,INTS13,0,train
AARS2,JOSD2,0,train
AARS2,KCNH2,0,train
AARS2,LEPROTL1,0,train
AARS2,LIME1,0,train
AARS2,MAP2K6,0,train
AARS2,MED14,0,train
AARS2,MED15,0,train
AARS2,MED18,0,train
AARS2,MFSD8,0,train
AARS2,MRPL48,0,train
AARS2,MT-ATP6,1,train
AARS2,MT-CO1,1,train
AARS2,MT-CO2,1,train
AARS2,MT-ND2,1,train
AARS2,MT-ND3,1,train
AARS2,NCAPD2,0,train
AARS2,NCOA5,0,train
AARS2,NOP2,0,train
AARS2,NOSIP,0,train
AARS2,NPEPPS,0,train
AARS2,NR2C2AP,0,train
AARS2,NT5M,0,train
AARS2,NUDT11,0,train
AARS2,PAK1,0,train
AARS2,PEX6,0,train
AARS2,PLEKHA5,0,train
AARS2,PPM1A,0,train
AARS2,PPP1R11,0,train
AARS2,PRKCH,0,train
AARS2,PTPRK,0,train
AARS2,RALGPS1,0,train
AARS2,RHOF,0,train
AARS2,RIMKLB,0,train
AARS2,RIMS3,0,train
AARS2,RPL21,0,train
AARS2,RUNDC1,0,train
AARS2,SLC38A10,0,train
AARS2,SMARCA2,0,train
AARS2,SMG1,0,train
AARS2,SMIM14,0,train
AARS2,SRSF10,0,train
AARS2,STK38L,0,train
AARS2,STYX,0,train
AARS2,SWSAP1,0,train
AARS2,THAP3,0,train
AARS2,TMEM138,0,train
AARS2,TPP2,0,train
AARS2,TRIB2,0,train
AARS2,TRIQK,0,train
AARS2,TRMT1,0,train
AARS2,TTF1,0,train
AARS2,ZMYND11,0,train
AARS2,ZNF337,0,train
AARS2,ZNF410,0,train
AARS2,ZNF569,0,train
ABCB10,AACS,0,train
ABCB10,ABI2,0,train
ABCB10,ADO,0,train
ABCB10,AKAP17A,0,train
ABCB10,AKIP1,0,train
ABCB10,BABAM2,0,train
ABCB10,BSDC1,0,train
