pert,gene,label,split
AAMP,BZW2,0,train
AAMP,CD1E,1,train
AAMP,CTSG,0,train
AAMP,CUEDC2,0,train
AAMP,GSTP1,0,train
AAMP,HSPD1,0,train
AAMP,LEF1,1,train
AAMP,MT-ATP6,0,train
AAMP,MT-CO3,0,train
AAMP,MT-ND3,0,train
AAMP,MT-ND5,0,train
AAMP,PRDX1,0,train
AAMP,RPS25,0,train
AAMP,SIVA1,1,train
AAMP,TRAC,1,train
AAMP,YBX1,0,train
AAR2,ERG28,1,train
AAR2,FDPS,1,train
AAR2,HMGCR,0,train
AAR2,HMGCS1,1,train
AAR2,HSPE1,0,train
AAR2,MVD,1,train
AAR2,PFDN4,0,train
AAR2,PRDX1,0,train
AAR2,PUM3,0,train
AAR2,RPL3,0,train
AAR2,RPL7A,0,train
AAR2,TPT1,0,train
AARS,ATF5,1,train
AARS,CCT3,0,train
AARS,CENPW,0,train
AARS,EIF1,1,train
AARS,GAPDH,0,train
AARS,HNRNPA2B1,0,train
AARS,HSP90AA1,0,train
AARS,HSP90AB1,0,train
AARS,HSPD1,0,train
AARS,HSPE1,0,train
AARS,LDHA,0,train
AARS,NME1,0,train
AARS,PHB,0,train
AARS,PRDX1,0,train
AARS,PTMA,0,train
AARS,TPT1,1,train
AARS,TUBA1B,0,train
AARS2,MT-ATP6,1,train
AARS2,MT-CO1,0,train
AARS2,MT-CO2,0,train
AARS2,MT-ND2,1,train
AARS2,MT-ND3,1,train
ABCB10,CTSG,1,train
ABCB10,EIF5A,0,train
ABCB10,ENO1,0,train
ABCB10,HSP90AA1,0,train
ABCB10,HSP90AB1,0,train
ABCB10,HSPD1,0,train
ABCB10,HSPE1,0,train
ABCB10,MT-ATP6,1,train
ABCB10,MT-ND2,1,train
ABCB10,MT-ND3,1,train
ABCB10,MYL6,1,train
ABCB10,NCL,0,train
ABCB10,PTMA,0,train
ABCB10,RPLP1,1,train
ABCB10,TIMELESS,0,train
ABCB10,TMEM14C,0,train
ABCB10,TPT1,1,train
ABCB7,CCT2,0,train
ABCB7,CCT6A,0,train
ABCB7,EIF1,1,train
ABCB7,GNAS,1,train
ABCB7,GTF3A,0,train
ABCB7,HSP90AA1,0,train
ABCB7,HSP90AB1,0,train
ABCB7,HSPD1,0,train
ABCB7,HSPE1,0,train
ABCB7,MT-ATP6,0,train
ABCB7,MT-CO3,0,train
ABCB7,MT-ND3,0,train
ABCB7,MT-ND6,0,train
ABCB7,NCL,0,train
ABCB7,RBCK1,1,train
ABCE1,EEF1A1,0,train
ABCE1,RPL13,0,train
ABCE1,RPL18,0,train
ABCE1,RPL28,0,train
ABCE1,RPL30,0,train
ABCE1,RPL5,0,train
ABCE1,RPL6,0,train
ABCE1,RPLP2,0,train
ABCE1,RPS14,0,train
ABCE1,RPS15,0,train
ABCE1,RPS19,0,train
ABCE1,RPS23,0,train
ABCE1,RPS3A,0,train
ABCE1,RPS5,0,train
ABCE1,RPS7,0,train
ABCG1,EXOSC8,0,train
ABCG1,HSPE1,1,train
ABCG1,MICOS10,0,train
ABCG1,NACA,0,train
ABCG1,RPL22L1,1,train
ABCG1,RPL26,0,train
ABCG1,RPL29,0,train
ABCG1,RPL35,0,train
ABCG1,RPL37,0,train
ABCG1,RPL39,0,train
ABCG1,RPL7A,0,train
ABCG1,RPS18,0,train
ABCG1,SERBP1,0,train
ABCG1,TXN,1,train
ABT1,EEF1A1,0,train
ABT1,HSPE1,0,train
ABT1,RPL10A,0,train
ABT1,RPL13,0,train
ABT1,RPL18A,0,train
ABT1,RPL23A,0,train
ABT1,RPL27A,0,train
ABT1,RPL3,0,train
ABT1,RPL37,0,train
ABT1,RPL7A,0,train
ABT1,RPS16,0,train
ABT1,RPS23,0,train
ABT1,RPS25,0,train
ABT1,RPS3,0,train
ABT1,RPS9,0,train
ABT1,TPT1,0,train
AC118549.1,EEF1G,0,train
AC118549.1,RPL13,0,train
AC118549.1,RPL27,0,train
AC118549.1,RPL29,0,train
AC118549.1,RPL32,0,train
AC118549.1,RPL37A,0,train
AC118549.1,RPL5,0,train
AC118549.1,RPL7,0,train
AC118549.1,RPL7A,0,train
AC118549.1,RPL8,0,train
AC118549.1,RPL9,0,train
AC118549.1,RPS14,0,train
AC118549.1,RPS15,0,train
AC118549.1,RPS3,0,train
AC118549.1,RPS3A,0,train
AC118549.1,RPS7,0,train
ACTB,ACTG1,1,train
ACTB,ARHGDIB,1,train
ACTB,CFL1,1,train
ACTB,CORO1A,1,train
ACTB,COTL1,1,train
ACTB,HPF1,1,train
ACTB,HSPD1,0,train
ACTB,HSPE1,0,train
ACTB,LIME1,1,train
ACTB,MACF1,1,train
ACTB,MYH9,1,train
ACTB,MYL6,1,train
ACTB,PRDX1,0,train
ACTB,TMSB10,1,train
ACTB,TMSB4X,1,train
ACTB,TPM4,1,train
ACTL6A,ARHGDIB,1,train
ACTL6A,FABP5,0,train
ACTL6A,HSPD1,0,train
ACTL6A,LDHA,0,train
ACTL6A,MT-ATP6,1,train
ACTL6A,MT-CO2,1,train
ACTL6A,PRDX1,1,train
ACTL6A,PRDX2,0,train
ACTL6A,PTPN7,1,train
ACTL6A,RPL18A,0,train
ACTL6A,RPS13,0,train
ACTL6A,RPS23,0,train
ACTL6A,SH3KBP1,1,train
ACTL6A,TRAC,1,train
ACTR10,GAPDH,0,train
ACTR10,GSTP1,0,train
ACTR10,RPL32,0,train
ACTR10,RPS5,0,train
ACTR10,RPS6,0,train
ACTR2,SLC3A2,1,train
ACTR2,TPT1,1,train
ACTR2,YBX3,1,train
ACTR6,ADI1,1,train
ACTR6,BDH2,0,train
ACTR6,BEX1,0,train
ACTR6,BLOC1S1,0,train
ACTR6,CST3,0,train
ACTR6,CTSG,1,train
ACTR6,FXYD2,1,train
ACTR6,HIGD2A,0,train
ACTR6,LY6E,0,train
ACTR6,MYL6,1,train
ACTR6,MYL6B,0,train
ACTR6,NDUFB7,0,train
ACTR6,RABAC1,0,train
ACTR6,RPS3A,0,train
ACTR6,SSR2,0,train
ACTR6,TMEM160,0,train
ACTR8,EXOSC8,0,train
ACTR8,MICOS10,0,train
ACTR8,MT-CO2,1,train
ACTR8,NACA,0,train
ACTR8,RPL22L1,1,train
ACTR8,RPL24,0,train
ACTR8,RPL26,0,train
ACTR8,RPL29,0,train
ACTR8,RPL34,0,train
ACTR8,RPL35,0,train
ACTR8,RPL39,0,train
ACTR8,RPL7A,0,train
ACTR8,RPS15,0,train
ACTR8,RPS15A,0,train
ACTR8,RPS17,0,train
ACTR8,RPS18,0,train
ADAM10,ARID5B,1,train
ADAM10,C12orf75,1,train
ADAM10,CORO1A,1,train
ADAM10,HES4,0,train
ADAM10,HSP90AB1,0,train
ADAM10,HSPD1,0,train
ADAM10,HSPE1,0,train
ADAM10,MINDY2,1,train
ADAM10,MRPL19,0,train
ADAM10,MT2A,0,train
ADAM10,MYO7B,0,train
ADAM10,PAICS,0,train
ADAM10,PTP4A2,0,train
ADAM10,PTPRC,1,train
ADAM10,SHQ1,0,train
ADAM10,TRAC,1,train
ADAM10,TUBA1B,0,train
ADNP2,LAPTM5,0,train
ADNP2,NIT2,0,train
ADNP2,NUDT8,0,train
ADNP2,PARK7,0,train
ADNP2,PTGES3,0,train
ADNP2,RPL13,1,train
ADNP2,RPL18,1,train
ADRM1,CD99,1,train
ADRM1,GSTP1,1,train
ADRM1,PSAP,1,train
ADRM1,PSMA1,1,train
ADRM1,PSMA7,1,train
ADRM1,PSMB1,1,train
ADRM1,PSMB4,1,train
ADRM1,PSMB7,1,train
ADRM1,UBC,1,train
AFG3L2,EEF1A1,1,train
AFG3L2,EIF5A,0,train
AFG3L2,HSP90AA1,0,train
AFG3L2,MT-CO1,0,train
AFG3L2,MT-CO2,0,train
AFG3L2,MT-CO3,0,train
AFG3L2,MT-CYB,0,train
AFG3L2,MT-ND6,0,train
AFG3L2,PSMA7,0,train
AFG3L2,RPL13,1,train
AFG3L2,RPL26,1,train
AFG3L2,RPL3,1,train
AFG3L2,RPL5,1,train
AFG3L2,RPS15A,1,train
AFG3L2,RPS18,1,train
AFG3L2,RPS3A,1,train
AFG3L2,TPT1,1,train
ALDOA,EEF1A1,1,train
ALDOA,ENO1,0,train
ALDOA,GAPDH,0,train
ALDOA,HMGB1,0,train
ALDOA,MT-CO1,1,train
ALDOA,MT-ND5,1,train
ALDOA,PPP1R14B,0,train
ALDOA,PSMA7,0,train
ALDOA,PTMA,0,train
ALDOA,RPL12,1,train
ALDOA,RPL13,1,train
ALDOA,SUB1,0,train
ALDOA,TPT1,1,train
ALDOA,YBX1,0,train
ALG11,CANX,1,train
ALG11,EEF1A1,1,train
ALG11,HSP90B1,1,train
ALG11,PDIA3,1,train
ALG11,PPIB,1,train
ALG11,PSAT1,1,train
ALG11,RBCK1,1,train
ALG11,RPL28,1,train
ALG11,RPS3,1,train
ALG11,RPS3A,1,train
ALG11,SLC3A2,1,train
ALG11,SPNS3,1,train
ALG11,TPT1,1,train
ALG1L,ASCC3,0,train
ALG1L,CANX,0,train
ALG1L,CCDC66,0,train
ALG1L,CLIC1,1,train
ALG1L,DDRGK1,1,train
ALG1L,HEXB,0,train
ALG1L,HSP90B1,0,train
ALG1L,ITGA4,0,train
ALG1L,LMAN1,0,train
ALG1L,MT-ND5,1,train
ALG1L,NDUFAF2,0,train
ALG1L,PTPRC,0,train
ALG1L,RPN1,0,train
ALG1L,SRPRA,0,train
ALG1L,TMEM109,0,train
ALG2,CANX,1,train
ALG2,EEF1A1,1,train
ALG2,HSP90AA1,0,train
ALG2,MANF,1,train
ALG2,MZB1,1,train
ALG2,PHGDH,1,train
ALG2,PPIB,1,train
ALG2,PSAT1,1,train
ALG2,RPL10A,1,train
ALG2,RPL13,1,train
ALG2,RPL29,1,train
ALG2,RPS3A,1,train
ALG2,SEC61B,0,train
ALG2,SLC3A2,1,train
ALG2,TPT1,1,train
ANAPC10,ABCE1,0,train
ANAPC10,EEF1A1,0,train
ANAPC10,FAU,0,train
ANAPC10,ISG15,0,train
ANAPC10,RPL18,0,train
ANAPC10,RPL18A,0,train
ANAPC10,RPL26,0,train
ANAPC10,RPL28,0,train
ANAPC10,RPS15,0,train
ANAPC10,RPS15A,0,train
ANAPC10,RPS19,0,train
ANAPC10,RPS23,0,train
ANAPC10,RPS3,0,train
ANAPC10,RPS5,0,train
ANAPC10,RPS6,0,train
ANAPC10,RPS7,0,train
ANAPC10,UBA52,0,train
ANKRD11,GAPDH,1,train
ANKRD11,ITM2A,0,train
ANKRD11,PTMA,1,train
ANKRD11,RPL13,1,train
ANKRD11,SPG7,1,train
ANKRD11,TMSB4X,1,train
AP2A1,EEF1A1,0,train
AP2A1,MT-CO1,1,train
AP2A1,PCLAF,0,train
AP2A1,RPL10A,0,train
AP2A1,RPL13,0,train
AP2A1,RPL3,0,train
AP2A1,RPL37,0,train
AP2A1,RPL7A,0,train
AP2A1,RPS23,0,train
AP2A1,RPS3,0,train
AP2A1,RPS9,0,train
AP2A1,TPT1,0,train
AP2A1,TUBA1B,0,train
AP2A1,TUBB,0,train
AP2S1,HSP90AA1,0,train
AP2S1,HSP90AB1,0,train
AP2S1,TPT1,1,train
ARGLU1,ALYREF,0,train
ARGLU1,ARL4C,1,train
ARGLU1,EIF5A,0,train
ARGLU1,GUK1,0,train
ARGLU1,H2AFY,0,train
ARGLU1,HNRNPA1,1,train
