pert,gene,label,split
AAMP,ADGRE5,0,train
AAMP,ANKHD1,0,train
AAMP,ATAD3B,0,train
AAMP,ATP5IF1,1,train
AAMP,ATXN7L3B,0,train
AAMP,BTG1,1,train
AAMP,CD63,1,train
AAMP,CHI3L2,0,train
AAMP,CIRBP,0,train
AAMP,CLINT1,0,train
AAMP,CLOCK,0,train
AAMP,COMT,0,train
AAMP,COQ2,0,train
AAMP,DDIT3,1,train
AAMP,DDX20,0,train
AAMP,DDX21,0,train
AAMP,EIF1B,1,train
AAMP,EIF4EBP2,0,train
AAMP,ELK4,0,train
AAMP,EPC2,0,train
AAMP,ESCO1,0,train
AAMP,EWSR1,0,train
AAMP,F12,0,train
AAMP,FABP5,1,train
AAMP,FBXO3,0,train
AAMP,FGFR1,0,train
AAMP,GRN,0,train
AAMP,GSTP1,1,train
AAMP,GTF2H1,0,train
AAMP,H3F3A,1,train
AAMP,HAGHL,0,train
AAMP,JMJD1C,0,train
AAMP,JMJD6,0,train
AAMP,KEL,0,train
AAMP,LCP1,1,train
AAMP,LIMS1,0,train
AAMP,MBIP,0,train
AAMP,MED14,0,train
AAMP,MIR17HG,0,train
AAMP,MIS18BP1,0,train
AAMP,MKNK2,0,train
AAMP,MON2,0,train
AAMP,MRPL52,1,train
AAMP,MT-ND1,0,train
AAMP,MYH10,0,train
AAMP,MYO18A,0,train
AAMP,NACA,1,train
AAMP,NAT9,0,train
AAMP,NBDY,0,train
AAMP,NEK9,0,train
AAMP,NUTF2,0,train
AAMP,PARS2,0,train
AAMP,PCLAF,1,train
AAMP,PFDN5,1,train
AAMP,PLEKHF2,0,train
AAMP,PNPO,0,train
AAMP,PRDX1,1,train
AAMP,QARS,0,train
AAMP,RCCD1,0,train
AAMP,RFC3,0,train
AAMP,RFX7,0,train
AAMP,RNF130,0,train
AAMP,RNF14,0,train
AAMP,RPS13,0,train
AAMP,RRP1B,0,train
AAMP,S100A4,0,train
AAMP,SEC31A,0,train
AAMP,SLC25A36,0,train
AAMP,SMAD4,0,train
AAMP,SMCHD1,0,train
AAMP,SNRPE,0,train
AAMP,SRP19,0,train
AAMP,STX5,0,train
AAMP,SUPT4H1,0,train
AAMP,THRB,0,train
AAMP,TJP1,0,train
AAMP,TK1,0,train
AAMP,TMEM164,0,train
AAMP,TOE1,0,train
AAMP,TOP2B,0,train
AAMP,TRAF3IP1,0,train
AAMP,TRAIP,0,train
AAMP,TSR2,0,train
AAMP,UBA2,0,train
AAMP,UPF3B,0,train
AAMP,UQCRB,0,train
AAMP,WDR44,0,train
AAMP,ZNF567,0,train
AAMP,ZNF8,0,train
AAMP,ZNF92,0,train
AAR2,ACSM3,0,train
AAR2,ARMCX6,0,train
AAR2,ATP6V1D,0,train
AAR2,AURKB,0,train
AAR2,C19orf48,0,train
AAR2,CCDC84,0,train
AAR2,CCDC85B,0,train
AAR2,CD99,0,train
AAR2,CITED2,0,train
AAR2,CLTB,0,train
AAR2,COPS6,0,train
AAR2,CPOX,0,train
AAR2,CSE1L,0,train
AAR2,CTH,0,train
AAR2,CTNND1,0,train
AAR2,CXXC1,0,train
AAR2,DCAF8,0,train
AAR2,DCLRE1A,0,train
AAR2,DERA,0,train
AAR2,DNAJA2,0,train
AAR2,EEF1A1,1,train
AAR2,EEF1B2,1,train
AAR2,EIF2B3,0,train
AAR2,EIF3I,0,train
AAR2,ETFRF1,0,train
AAR2,FCER1G,0,train
AAR2,FOXO1,0,train
AAR2,GATAD1,0,train
AAR2,GCC1,0,train
AAR2,GOLPH3L,0,train
AAR2,GRB2,0,train
AAR2,IFNAR2,0,train
AAR2,ITM2B,0,train
AAR2,KATNA1,0,train
AAR2,KRI1,0,train
AAR2,LMO4,0,train
AAR2,MAGEA6,0,train
AAR2,MBOAT7,0,train
AAR2,MED8,0,train
AAR2,MRAP2,0,train
AAR2,MRPL27,0,train
AAR2,MTRR,0,train
