pert,gene,label,split
AAMP,ATP5IF1,1,train
AAMP,BTG1,1,train
AAMP,CD63,1,train
AAMP,DDIT3,1,train
AAMP,EIF1B,1,train
AAMP,FABP5,0,train
AAMP,GSTP1,1,train
AAMP,H3F3A,0,train
AAMP,LCP1,1,train
AAMP,MRPL52,1,train
AAMP,NACA,1,train
AAMP,PCLAF,0,train
AAMP,PFDN5,1,train
AAMP,PRDX1,0,train
AAR2,EEF1A1,0,train
AAR2,EEF1B2,0,train
AAR2,RPL10,0,train
AAR2,RPL13A,0,train
AAR2,RPL23,0,train
AAR2,RPL7A,0,train
AAR2,RPLP1,0,train
AAR2,RPS11,0,train
AAR2,RPS24,0,train
AAR2,RPS28,0,train
AAR2,RPS29,0,train
AAR2,RPS4X,0,train
AAR2,RPS8,0,train
AARS,ATF5,1,train
AARS,CCPG1,1,train
AARS,CD63,1,train
AARS,DDIT4,1,train
AARS,FTH1,1,train
AARS,HERPUD1,1,train
AARS,RPL36A,1,train
AARS,RPLP1,1,train
AARS,RPS27,1,train
AARS,RPS3A,1,train
AARS,SLC3A2,1,train
AARS,TCEA1,1,train
AARS,TRIB3,1,train
AARS,WARS,1,train
AATF,AKAP8L,1,train
AATF,ATP5IF1,1,train
AATF,BTG1,1,train
AATF,CAB39,1,train
AATF,CD63,1,train
AATF,EIF5,1,train
AATF,ERVK3-1,1,train
AATF,GUK1,1,train
AATF,MAD2L2,1,train
AATF,MAPK1,1,train
AATF,MED10,1,train
AATF,PDCD5,1,train
AATF,RBM8A,1,train
AATF,UBC,1,train
AATF,YBX1,1,train
ABCB10,APOE,1,train
ABCB10,ENO1,0,train
ABCB10,HBG2,1,train
ABCB10,MT-CYB,1,train
ABCB10,MT-ND1,1,train
ABCB10,MT-ND2,1,train
ABCB7,ATP5MC3,0,train
ABCB7,MT-ND5,0,train
ABCB7,MT-ND6,0,train
ABCB7,MTRNR2L8,0,train
ABCB7,PRDX1,0,train
ABCB7,TFRC,1,train
ABT1,ATP5IF1,1,train
ABT1,BAZ1B,1,train
ABT1,DDIT3,1,train
ABT1,EIF3L,0,train
ABT1,EIF5,1,train
ABT1,FAM136A,1,train
ABT1,MED10,1,train
ABT1,RPL21,0,train
ABT1,RPL30,0,train
ABT1,RPS19,0,train
ABT1,RPS19BP1,1,train
ABT1,RPS5,0,train
ABT1,RPS7,0,train
ABT1,YBX1,1,train
AC118549.1,EEF1G,0,train
AC118549.1,RPL12,0,train
AC118549.1,RPL17,0,train
AC118549.1,RPL26,0,train
AC118549.1,RPL27,0,train
AC118549.1,RPL32,0,train
AC118549.1,RPL34,0,train
AC118549.1,RPL41,0,train
AC118549.1,RPL7A,0,train
AC118549.1,RPL8,0,train
AC118549.1,RPL9,0,train
AC118549.1,RPS14,0,train
AC118549.1,RPS2,0,train
AC118549.1,RPS4X,0,train
ACSL3,ACAT2,1,train
ACSL3,ATP6V0A1,1,train
ACSL3,CD164,1,train
ACSL3,CR1L,1,train
ACSL3,FADS1,1,train
ACSL3,FAM210B,1,train
ACSL3,HSPE1,0,train
ACSL3,KRT18,1,train
ACSL3,MAPK1,1,train
ACSL3,NPM1,0,train
ACSL3,SCD,1,train
ACSL3,SOD2,1,train
ACSL3,SRP9,0,train
ACSL3,UCP2,1,train
ACSL3,VIM,0,train
ACSL3,VMA21,1,train
ACSL3,ZNF595,1,train
ACSS2,EEF1A1,1,train
ACSS2,MDK,1,train
ACSS2,MT-CO1,0,train
ACSS2,MT-CYB,0,train
ACSS2,MT-ND4L,1,train
ACSS2,MT-ND6,1,train
ACSS2,RPL18,1,train
ACSS2,RPL37A,1,train
ACSS2,RPS14,1,train
ACSS2,RPS4X,1,train
ACSS2,RPS6,1,train
ACSS2,RPS8,1,train
ACTB,ACTG1,1,train
ACTB,ACTR3,1,train
ACTB,AIF1,1,train
ACTB,ARPC5,1,train
ACTB,CAPZB,1,train
ACTB,CFL1,1,train
ACTB,CNN2,1,train
ACTB,LCP1,1,train
ACTB,LIMA1,1,train
ACTB,MYL4,1,train
ACTB,MYL6,1,train
ACTB,PDLIM7,1,train
ACTB,PFN1,1,train
ACTB,TPM4,1,train
ACTB,VCL,1,train
ACTR5,EEF1G,0,train
ACTR5,RPL17,0,train
ACTR5,RPL29,0,train
ACTR5,RPL32,0,train
ACTR5,RPL34,0,train
ACTR5,RPL41,0,train
ACTR5,RPL6,0,train
ACTR5,RPL7A,0,train
ACTR5,RPL9,0,train
ACTR5,RPS14,0,train
ACTR5,RPS15,0,train
ACTR5,RPS15A,0,train
ACTR5,RPS17,0,train
ACTR5,RPS24,0,train
ACTR5,RPS3A,0,train
ACTR6,ACAT2,1,train
ACTR6,DHCR24,1,train
ACTR6,EEF1B2,1,train
ACTR6,FDFT1,1,train
ACTR6,KRT18,1,train
ACTR6,MT-ND2,1,train
ACTR6,MT-ND4L,1,train
ACTR6,PCBP2,1,train
ACTR6,RPL6,1,train
ACTR6,RPL7A,1,train
ACTR6,RPS14,1,train
ACTR6,RPS5,1,train
ACTR8,ARPC3,1,train
ACTR8,C9orf16,1,train
ACTR8,CD63,1,train
ACTR8,CFL1,1,train
ACTR8,CHCHD2,1,train
ACTR8,COMT,1,train
ACTR8,DBI,1,train
ACTR8,FCER1G,1,train
ACTR8,H3F3A,1,train
ACTR8,MPC2,1,train
ACTR8,PFN1,1,train
ACTR8,PSMA7,1,train
ACTR8,PSMB3,1,train
ACTR8,RPL22L1,1,train
ACTR8,SSR4,1,train
ACTR8,UBA52,1,train
ACTR8,YBX1,1,train
ADAM10,BSG,1,train
ADAM10,FABP5,0,train
ADAM10,FTH1,1,train
ADAM10,GYPB,1,train
ADAM10,ISOC2,0,train
ADAM10,MYC,0,train
ADAM10,NPM1,0,train
ADAM10,ODC1,0,train
ADAM10,PPA1,0,train
ADAM10,RAN,0,train
ADAM10,RPL21,0,train
ADAM10,RPS12,0,train
ADAM10,SLC1A5,0,train
ADAM10,SRM,0,train
ADAM10,TUBA1B,0,train
ADAM10,YBX1,0,train
ADNP,DUT,0,train
ADNP,MT-CO1,0,train
ADNP,MT-ND1,1,train
ADNP,MT-ND2,1,train
ADNP,MT-ND4L,1,train
ADNP,MT-ND5,1,train
ADNP,MT-ND6,0,train
