pert,gene,label,split
AAMP,ACAP2,0,train
AAMP,AGAP1,0,train
AAMP,AKIRIN1,0,train
AAMP,ANKRD52,0,train
AAMP,ANP32B,1,train
AAMP,APPL2,0,train
AAMP,ARHGAP12,0,train
AAMP,ARL4C,0,train
AAMP,AVPI1,0,train
AAMP,BAMBI,0,train
AAMP,C17orf80,0,train
AAMP,CDK12,0,train
AAMP,CDK5RAP3,0,train
AAMP,CHIC2,0,train
AAMP,CMAS,0,train
AAMP,CREB3L1,0,train
AAMP,CRIP2,0,train
AAMP,CSGALNACT2,0,train
AAMP,CWC27,0,train
AAMP,CXXC5,0,train
AAMP,CYP2U1,0,train
AAMP,DDX6,0,train
AAMP,DEK,1,train
AAMP,DHRS7,0,train
AAMP,DHX33,0,train
AAMP,DPH6,0,train
AAMP,EPM2AIP1,0,train
AAMP,ETV6,0,train
AAMP,FAM162A,0,train
AAMP,FSD1,0,train
AAMP,GTF2B,0,train
AAMP,HDLBP,0,train
AAMP,HMGB1,1,train
AAMP,HNRNPA2B1,1,train
AAMP,HSP90AA1,1,train
AAMP,HSPD1,1,train
AAMP,IL10RB,0,train
AAMP,LRR1,0,train
AAMP,LY6E,0,train
AAMP,MED17,0,train
AAMP,MLLT11,0,train
AAMP,MOK,0,train
AAMP,MPHOSPH9,0,train
AAMP,NEIL3,0,train
AAMP,NEK2,0,train
AAMP,NKAPD1,0,train
AAMP,NMNAT2,0,train
AAMP,NPM1,1,train
AAMP,NUBPL,0,train
AAMP,PCLAF,1,train
AAMP,PKNOX1,0,train
AAMP,PODXL2,0,train
AAMP,POFUT1,0,train
AAMP,PSMD13,0,train
AAMP,PTMA,1,train
AAMP,PTPN2,0,train
AAMP,RAB18,0,train
AAMP,RAB6A,0,train
AAMP,RARS2,0,train
AAMP,RASA1,0,train
AAMP,RASSF3,0,train
AAMP,RETREG1,0,train
AAMP,RNF10,0,train
AAMP,RNF8,0,train
AAMP,RNPC3,0,train
AAMP,RPL39,1,train
AAMP,RPL4,0,train
AAMP,RPRD1B,0,train
AAMP,RPS18,1,train
AAMP,RPS19,1,train
AAMP,RRAS2,0,train
AAMP,SMC6,0,train
AAMP,SRSF6,0,train
AAMP,SRSF8,0,train
AAMP,STMN1,1,train
AAMP,TAGLN,0,train
AAMP,TAX1BP1,0,train
AAMP,TMEM156,0,train
AAMP,TMEM45A,0,train
AAMP,TRAK1,0,train
AAMP,TSC22D2,0,train
AAMP,TTC27,0,train
AAMP,TUBA1B,1,train
AAMP,UBE2I,0,train
AAMP,ULK1,0,train
AAMP,UQCRFS1,0,train
AAMP,USP13,0,train
AAMP,VIM,1,train
AAMP,VPS37B,0,train
AAMP,YAF2,0,train
AAMP,YLPM1,0,train
AAMP,ZFAND5,0,train
AAMP,ZNF146,0,train
AAMP,ZWILCH,0,train
AARS,ACTB,1,train
AARS,ANGPT1,0,train
AARS,ANKS6,0,train
AARS,AP4M1,0,train
AARS,ATF4,1,train
AARS,ATP5MD,0,train
AARS,ATP6V0B,0,train
AARS,BTN3A2,0,train
AARS,CALR,1,train
AARS,CAV1,1,train
AARS,CCDC107,0,train
AARS,CCDC117,0,train
AARS,CCDC138,0,train
AARS,CCNC,0,train
AARS,CCNF,0,train
AARS,CFDP1,0,train
AARS,CTNNBIP1,0,train
AARS,CTXN1,0,train
AARS,CUEDC1,0,train
AARS,CYP2U1,0,train
AARS,DDX5,0,train
AARS,DDX55,0,train
AARS,DDX58,0,train
AARS,DENR,0,train
AARS,DIP2A,0,train
AARS,DUSP23,0,train
AARS,DVL2,0,train
AARS,EIF1,1,train
AARS,FAM76B,0,train
AARS,FLNC,0,train
AARS,FUNDC2,0,train
AARS,GALK1,0,train
AARS,GNS,0,train
AARS,HECTD4,0,train
AARS,HMGB1,1,train
AARS,HNRNPA2B1,1,train
AARS,IFT81,0,train
AARS,KATNA1,0,train
AARS,KTI12,0,train
AARS,LAGE3,0,train
AARS,LAMB2,0,train
AARS,LY6E,0,train
AARS,MAP1LC3B,1,train
AARS,MCEE,0,train
AARS,METTL3,0,train
AARS,MLLT10,0,train
AARS,MLXIP,0,train
AARS,MOB1A,0,train
AARS,MRPL37,0,train
AARS,MRPL4,0,train
AARS,MT-CO2,1,train
AARS,MT-ND2,1,train
AARS,MT-ND5,1,train
AARS,MTAP,0,train
AARS,MTHFD2L,0,train
AARS,NCBP1,0,train
AARS,NEU1,0,train
AARS,NFKB1,0,train
AARS,NUAK1,0,train
AARS,NUDT3,0,train
AARS,PAAF1,0,train
AARS,PDCL3,0,train
AARS,PGAM5,0,train
AARS,PODXL,0,train
AARS,POMT1,0,train
AARS,PSIP1,0,train
AARS,PTMA,1,train
AARS,PXMP2,0,train
AARS,PYROXD1,0,train
AARS,RACK1,1,train
AARS,RARG,0,train
AARS,RGS3,0,train
AARS,RPL26L1,0,train
AARS,SMNDC1,0,train
AARS,SMURF1,0,train
AARS,SNAI2,0,train
AARS,SNAPC1,0,train
AARS,SP110,0,train
AARS,SQSTM1,1,train
AARS,STMN1,1,train
AARS,SYNPO,0,train
AARS,SZT2,0,train
AARS,TEAD3,0,train
AARS,TEFM,0,train
AARS,TPST2,0,train
AARS,TPT1,1,train
AARS,TRIM24,0,train
AARS,TRIM25,0,train
AARS,TRMO,0,train
AARS,TRPS1,0,train
AARS,TUBA1B,1,train
AARS,VPS54,0,train
AARS,YRDC,0,train
AARS,ZGPAT,0,train
AARS,ZMYM4,0,train
AARS,ZNF318,0,train
AARS,ZW10,0,train
AASDHPPT,ACSL4,0,train
AASDHPPT,ADAM19,0,train
AASDHPPT,ALDH3A2,0,train
AASDHPPT,ANP32B,1,train
AASDHPPT,AP1S2,0,train
AASDHPPT,APP,0,train
AASDHPPT,ARFGEF1,0,train
AASDHPPT,ARNTL2,0,train
AASDHPPT,ARPC1B,0,train
AASDHPPT,ARPC2,0,train
AASDHPPT,ATP6AP2,0,train
AASDHPPT,C17orf80,0,train
AASDHPPT,C5orf46,0,train
AASDHPPT,CABIN1,0,train
AASDHPPT,CAV2,0,train
AASDHPPT,CD58,0,train
AASDHPPT,CDC42,0,train
AASDHPPT,CDC42BPA,0,train
AASDHPPT,CEP295,0,train
AASDHPPT,CES2,0,train
AASDHPPT,CHIC2,0,train
AASDHPPT,CHTF18,0,train
AASDHPPT,CLSTN2,0,train
AASDHPPT,CRY1,0,train
AASDHPPT,DHPS,0,train
AASDHPPT,DIAPH2,0,train
AASDHPPT,DPH2,0,train
AASDHPPT,DPH5,0,train
AASDHPPT,DPH7,0,train
AASDHPPT,DZIP1,0,train
AASDHPPT,DZIP3,0,train
AASDHPPT,EEF1A1,1,train
AASDHPPT,EIF3M,0,train
AASDHPPT,FBN1,0,train
AASDHPPT,FBXL20,0,train
AASDHPPT,FNBP4,0,train
AASDHPPT,FRMD6,1,train
AASDHPPT,GPN3,0,train
AASDHPPT,GZF1,0,train
AASDHPPT,HLA-A,0,train
AASDHPPT,ING4,0,train
AASDHPPT,JPT1,1,train
AASDHPPT,JUND,0,train
AASDHPPT,KDM2B,0,train
AASDHPPT,LPCAT4,0,train
AASDHPPT,MAK16,0,train
AASDHPPT,MAPK6,0,train
AASDHPPT,MDM2,1,train
AASDHPPT,METTL15,0,train
AASDHPPT,MPI,0,train
AASDHPPT,MPP5,0,train
AASDHPPT,MRPS24,0,train
AASDHPPT,MTRNR2L8,0,train
AASDHPPT,MYBL1,0,train
AASDHPPT,NACC2,0,train
AASDHPPT,NASP,1,train
AASDHPPT,NMD3,0,train
AASDHPPT,NOC3L,0,train
AASDHPPT,NSRP1,0,train
AASDHPPT,ORMDL3,0,train
AASDHPPT,PCNX4,0,train
AASDHPPT,PDCD5,1,train
AASDHPPT,POGLUT1,0,train
AASDHPPT,PPP1CA,0,train
AASDHPPT,PPP1R2,0,train
AASDHPPT,PPP1R9B,0,train
AASDHPPT,PRKAG2,0,train
AASDHPPT,PSMA1,0,train
AASDHPPT,PYGL,0,train
AASDHPPT,RAD51AP1,0,train
AASDHPPT,RBM4,0,train
AASDHPPT,RPL19,0,train
AASDHPPT,RPS24,0,train
AASDHPPT,RRP1B,0,train
AASDHPPT,RSL24D1,0,train
AASDHPPT,SAPCD2,0,train
AASDHPPT,SETX,0,train
AASDHPPT,SGIP1,0,train
AASDHPPT,SHOX2,0,train
AASDHPPT,SLC38A6,0,train
AASDHPPT,SNAPC5,0,train
AASDHPPT,SRSF11,0,train
AASDHPPT,STK32C,0,train
AASDHPPT,STMN1,1,train
AASDHPPT,STT3B,0,train
AASDHPPT,TBC1D5,0,train
AASDHPPT,THOC1,0,train
AASDHPPT,TOR1AIP1,0,train
AASDHPPT,TTLL12,0,train
AASDHPPT,TUBB,1,train
AASDHPPT,ZBED5,0,train
AASDHPPT,ZCCHC7,0,train
AASDHPPT,ZNF248,0,train
AASDHPPT,ZNF32,0,train
AATF,AASDH,0,train
AATF,ACY1,0,train
AATF,ADAM23,0,train
AATF,ANAPC1,0,train
AATF,AQR,0,train
AATF,ARAP2,0,train
AATF,ARHGAP19,0,train
AATF,ARL14EP,0,train
AATF,ARL2BP,0,train
AATF,ATOH8,0,train
AATF,C12orf4,0,train
AATF,C18orf54,0,train
AATF,CDKN2AIP,0,train
AATF,CLN6,0,train
AATF,CNTNAP3,0,train
AATF,COPG1,0,train
AATF,CREB3L2,0,train
AATF,CUL1,0,train
AATF,DYRK3,0,train
AATF,ENDOD1,0,train
AATF,FAM104B,0,train
AATF,FBXW4,0,train
AATF,FGF1,0,train
AATF,GALNT7,0,train
AATF,GAPDH,0,train
AATF,GAS6,0,train
AATF,GTF2E1,0,train
AATF,GTF2H1,0,train
AATF,HMGB1,1,train
AATF,HMGN2,1,train
AATF,HNRNPA1,1,train
AATF,HNRNPA2B1,1,train
AATF,HOOK3,0,train
AATF,HSPD1,1,train
AATF,IPO4,0,train
AATF,KDM6A,0,train
AATF,LCA5,0,train
AATF,MAFG,0,train
AATF,ME1,0,train
AATF,MFGE8,0,train
AATF,MYCBP,0,train
AATF,MYEOV,0,train
AATF,NAA20,0,train
AATF,NCEH1,0,train
AATF,NDUFB4,0,train
AATF,NPM1,1,train
AATF,NSUN5,0,train
AATF,OSBPL6,0,train
AATF,PAM,0,train
AATF,PCID2,0,train
AATF,PCLAF,1,train
AATF,PET117,0,train
AATF,PHACTR2,0,train
AATF,PHPT1,1,train
AATF,PIM1,0,train
AATF,PLPP3,0,train
AATF,POLR2D,0,train
AATF,PPARG,0,train
AATF,PPIL4,0,train
AATF,PPP1R21,0,train
AATF,PRPF40A,0,train
AATF,PTMA,1,train
AATF,RMI2,0,train
AATF,RPAP3,0,train
AATF,RPS18,0,train
AATF,RRP8,0,train
AATF,SLC25A3,0,train
AATF,SLC36A4,0,train
AATF,SLC6A8,0,train
AATF,SMIM13,0,train
AATF,SNUPN,0,train
AATF,STMN1,1,train
AATF,STYXL1,0,train
AATF,TCEAL1,0,train
AATF,TENM3,0,train
AATF,TMEM222,0,train
AATF,TMEM35B,0,train
