pert,gene,label,split
AARS,ANGPTL8,1,train
AARS,CALR,0,train
AARS,CCPG1,1,train
AARS,CEBPB,1,train
AARS,DBI,0,train
AARS,EIF1,1,train
AARS,GARS,1,train
AARS,GHITM,1,train
AARS,HSPA9,1,train
AARS,MTHFD2,1,train
AARS,PEBP1,0,train
AARS,RBCK1,1,train
AARS,RPL26,1,train
AARS,TPT1,1,train
AARS,TRIB3,1,train
AATF,A2M,1,train
AATF,AMBP,1,train
AATF,APOE,1,train
AATF,C3,1,train
AATF,CST3,1,train
AATF,FDXR,1,train
AATF,GPC3,1,train
AATF,HMGA1,0,train
AATF,HNRNPA1,0,train
AATF,RPL10A,0,train
AATF,RPL12,0,train
AATF,RPL23,0,train
AATF,RPS27L,1,train
AATF,RPS9,0,train
AATF,TUBA1B,0,train
ABCB10,APOE,1,train
ABCB10,CDKN1A,1,train
ABCB10,FDXR,1,train
ABCB10,H2AFZ,0,train
ABCB10,HMGB1,0,train
ABCB10,HNRNPA2B1,0,train
ABCB10,LDHA,0,train
ABCB10,MCM3,0,train
ABCB10,MT-ATP6,1,train
ABCB10,MT-ND2,1,train
ABCB10,MT-ND3,1,train
ABCB10,NCL,0,train
ABCB10,PRAP1,1,train
ABCB10,SAT2,1,train
ABCB10,TUBA1B,0,train
ABCB7,APOE,1,train
ABCB7,CLDN4,0,train
ABCB7,COL9A3,0,train
ABCB7,EIF1,1,train
ABCB7,FDXR,1,train
ABCB7,HSPE1,0,train
ABCB7,LDHA,0,train
ABCB7,MT-CO1,1,train
ABCB7,MT-ND4,1,train
ABCB7,MYL9,0,train
ABCB7,RANBP1,0,train
ABCB7,RBM8A,0,train
ABCB7,RPS15,0,train
ABCB7,SERPINF1,1,train
ABCE1,AUP1,1,train
ABCE1,EEF1A1,0,train
ABCE1,EIF1,1,train
ABCE1,HNRNPA1,0,train
ABCE1,RPL11,0,train
ABCE1,RPL13,0,train
ABCE1,RPL18A,0,train
ABCE1,RPL26,0,train
ABCE1,RPL28,0,train
ABCE1,RPL35,0,train
ABCE1,RPL8,0,train
ABCE1,RPS15A,0,train
ABCE1,RPS19,0,train
ABCE1,RPS21,0,train
ABCE1,RPS6,0,train
ABT1,A2M,1,train
ABT1,AMBP,1,train
ABT1,APOE,1,train
ABT1,C3,1,train
ABT1,CST3,1,train
ABT1,EIF4B,0,train
ABT1,FBXO2,1,train
ABT1,GPC3,1,train
ABT1,HNRNPA1,0,train
ABT1,NPM1,0,train
ABT1,RPL10A,0,train
ABT1,RPL12,0,train
ABT1,RPL15,0,train
ABT1,RPL23,0,train
ABT1,RPL26,0,train
ABT1,RPL5,0,train
ABT1,RPS9,0,train
ACSS2,CAMK2N1,1,train
ACSS2,MT-ATP8,1,train
ACSS2,MT-CO1,1,train
ACSS2,MT-ND2,1,train
ACSS2,MT-ND5,1,train
ACSS2,MT-ND6,1,train
ACSS2,PNPT1,0,train
ACSS2,ZNF593,0,train
ACTR10,APOE,1,train
ACTR10,HMGA1,0,train
ACTR10,LDHA,0,train
ACTR10,PTBP1,0,train
ACTR10,RPS3,0,train
ACTR10,RPSA,0,train
ACTR5,RPL11,0,train
ACTR5,RPL13,0,train
ACTR5,RPL26,0,train
ACTR5,RPL27,0,train
ACTR5,RPL34,0,train
ACTR5,RPL37A,0,train
ACTR5,RPL5,0,train
ACTR5,RPL6,0,train
ACTR5,RPL7A,0,train
ACTR5,RPL9,0,train
ACTR5,RPS10,0,train
ACTR5,RPS14,0,train
ACTR5,RPS18,0,train
ACTR5,RPS24,0,train
ACTR5,RPS3,0,train
ACTR6,AGTRAP,0,train
ACTR6,EEF1B2,1,train
ACTR6,EIF1,1,train
ACTR6,PSMA3,1,train
ACTR6,RPL26,1,train
ACTR6,RPL6,1,train
ACTR6,RPL7A,1,train
ACTR6,RPS18,1,train
ACTR6,RPS19,1,train
ACTR6,RPS2,1,train
ACTR6,RPS24,1,train
ACTR6,SLC16A3,0,train
ACTR8,ASPH,1,train
ACTR8,COPZ1,0,train
ACTR8,HNMT,0,train
ACTR8,MICOS10,0,train
ACTR8,MRPL50,0,train
ACTR8,NACA,0,train
ACTR8,NDUFC1,0,train
ACTR8,RPL21,0,train
ACTR8,RPL22,0,train
ACTR8,RPL26,0,train
ACTR8,RPL34,0,train
ACTR8,RPL7A,0,train
ACTR8,RPS18,0,train
ACTR8,RPS24,0,train
ACTR8,SDHC,0,train
ACTR8,SNRNP40,0,train
ACTR8,TRNP1,1,train
ACTR8,VPS29,0,train
AFG3L2,CEBPB,1,train
AFG3L2,EEF1A1,1,train
AFG3L2,EEF1B2,1,train
AFG3L2,EIF1,1,train
AFG3L2,GOT1,1,train
AFG3L2,MTHFD2,1,train
AFG3L2,PEG10,0,train
AFG3L2,RACK1,1,train
AFG3L2,RPL12,1,train
AFG3L2,RPL26,1,train
AFG3L2,RPL39,1,train
AFG3L2,RPL4,1,train
AFG3L2,RPS18,1,train
AFG3L2,RPS4X,1,train
AFG3L2,TPT1,1,train
AFG3L2,TRIB3,1,train
AGBL5,AGMAT,0,train
AGBL5,C20orf204,0,train
AGBL5,CISD2,0,train
AGBL5,ISOC2,0,train
AGBL5,KIZ,1,train
AGBL5,KRT18,1,train
AGBL5,LCN15,0,train
AGBL5,MATN3,1,train
AGBL5,PLRG1,0,train
AGBL5,PRR13,0,train
AGBL5,REEP6,0,train
AGBL5,RHOBTB1,1,train
AGBL5,TCEA3,0,train
AGBL5,TMEM141,0,train
AGBL5,TUBB3,1,train
AHCTF1,CD99,0,train
AHCTF1,CKB,0,train
AHCTF1,MT-ND6,0,train
AHCTF1,SLC2A8,1,train
AHCTF1,UBB,1,train
ALG11,APOM,1,train
ALG11,HSP90B1,1,train
ALG11,HSPA5,1,train
ALG11,MANF,1,train
ALG11,NUCB2,1,train
ALG11,SEC11C,1,train
ALG2,DNAJC12,1,train
ALG2,FGA,1,train
ALG2,HSP90B1,1,train
ALG2,NUCB2,1,train
ALG2,PPIB,1,train
ALG2,RPL34,1,train
ALG2,SEC11C,1,train
ALG2,SEC61B,0,train
ANAPC2,AGMAT,0,train
ANAPC2,AKAP1,0,train
ANAPC2,ANGPTL8,0,train
ANAPC2,APOB,0,train
ANAPC2,BLOC1S2,1,train
ANAPC2,CCN2,0,train
ANAPC2,COX4I1,1,train
ANAPC2,FDXR,1,train
ANAPC2,HIST1H4C,0,train
ANAPC2,LMNA,1,train
ANAPC2,MDM2,1,train
ANAPC2,MT-ND1,0,train
ANAPC2,PSAP,1,train
ANAPC2,RPS27L,1,train
ANAPC2,S100A11,1,train
ANAPC2,S100A4,1,train
ANAPC2,S100A6,1,train
ANAPC2,UBB,1,train
ANAPC5,APOB,0,train
ANAPC5,BAX,1,train
ANAPC5,C20orf204,0,train
ANAPC5,CCNB1,1,train
ANAPC5,CTDSPL,0,train
ANAPC5,FDXR,1,train
ANAPC5,HIST1H4C,0,train
ANAPC5,MARCKS,1,train
ANAPC5,METTL7A,1,train
ANAPC5,MYADM,0,train
ANAPC5,PTTG1,1,train
ANAPC5,RPS19,1,train
ANAPC5,RPS27L,1,train
ANAPC5,SRM,0,train
ANAPC5,TRIR,0,train
AP2S1,DCBLD2,1,train
AP2S1,FTL,0,train
AP2S1,IGFBP7,1,train
AP2S1,MT2A,1,train
AP2S1,RBP1,1,train
AP2S1,S100A11,1,train
AP2S1,SOX4,1,train
AP2S1,TUBB2B,1,train
ARCN1,AFP,0,train
ARCN1,APOH,0,train
ARCN1,DST,1,train
ARCN1,DUSP1,1,train
ARCN1,GAPDH,0,train
ARCN1,HNRNPA1,0,train
ARCN1,HSPE1,0,train
ARCN1,KLF6,1,train
ARCN1,LDHA,0,train
ARCN1,MXRA8,1,train
ARCN1,NPM1,0,train
ARCN1,ORM2,0,train
ARCN1,S100A6,1,train
ARCN1,SERPINA1,0,train
ARCN1,TUBB2B,1,train
ARCN1,UBC,1,train
ARGLU1,AHCY,0,train
ARGLU1,AHSG,0,train
ARGLU1,ANXA4,0,train
ARGLU1,APOC2,0,train
ARGLU1,DANCR,0,train
ARGLU1,DCXR,0,train
ARGLU1,DDT,1,train
ARGLU1,ETFB,1,train
ARGLU1,KPNA4,1,train
ARGLU1,NUDT4,1,train
ARGLU1,RPL12,1,train
ARGLU1,SLC25A1,0,train
ARHGAP6,ANP32B,0,train
ARHGAP6,C3,1,train
ARHGAP6,CDA,1,train
ARHGAP6,CGREF1,1,train
ARHGAP6,HMGB1,0,train
ARHGAP6,HNRNPA2B1,0,train
ARHGAP6,HNRNPC,0,train
ARHGAP6,HNRNPD,0,train
ARHGAP6,HNRNPM,0,train
ARHGAP6,HSP90AA1,0,train
ARHGAP6,NPW,1,train
ARHGAP6,PCSK1N,1,train
ARHGAP6,PHB,0,train
ARHGAP6,PLIN2,1,train
ARHGAP6,PTGES3,0,train
ARHGAP6,PTMA,0,train
ARHGAP6,YBX1,0,train
ARMC7,ATP1A1,0,train
ARMC7,COA3,0,train
ARMC7,DYNC1LI2,0,train
ARMC7,HSPA4,0,train
ARMC7,KRTCAP2,0,train
ARMC7,MATN3,0,train
ARMC7,PFDN5,0,train
ARMC7,PHB2,0,train
ARMC7,RPL4,0,train
ARMC7,SMS,0,train
ARMC7,SRSF10,1,train
ARMC7,SSR2,0,train
ARMC7,TRAPPC2L,0,train
ARMC7,VPS25,0,train
ARMC7,XRCC5,0,train
ARPC1B,ANGPTL8,1,train
ARPC1B,APOE,1,train
ARPC1B,CDA,1,train
ARPC1B,H2AFZ,0,train
ARPC1B,HMGB1,0,train
ARPC1B,PA2G4,0,train
ARPC1B,PTMA,0,train
ARPC1B,SERINC3,1,train
ARPC1B,SET,0,train
ARPC1B,SFPQ,0,train
ARPC1B,SRM,0,train
ARPC1B,TNRC6B,1,train
ARPC1B,TUBA1B,0,train
ARPC1B,YBX1,0,train
ARPC4,FTL,0,train
ARPC4,MT-CO1,1,train
ARPC4,PA2G4,0,train
ARPC4,RACK1,0,train
ARPC4,RPL26,0,train
ARPC4,RPL8,0,train
ARPC4,RPL9,0,train
ARPC4,RPS17,0,train
ARPC4,RPS18,0,train
ARPC4,RPS2,0,train
ARPC4,RPS3,0,train
ARPC4,S100A4,1,train
ARPC4,SLC16A3,0,train
ARPC4,TADA3,0,train
ARPC4,TTR,1,train
ARRB2,A2M,1,train
ARRB2,AMBP,1,train
ARRB2,APOE,1,train
ARRB2,C3,1,train
ARRB2,EIF4B,0,train
ARRB2,FBXO2,1,train
ARRB2,MOCS2,0,train
ARRB2,MXRA7,1,train
ARRB2,NACA,0,train
ARRB2,PCSK1N,1,train
ARRB2,RPL10A,0,train
ARRB2,RPL26,0,train
ARRB2,RPS2,0,train
ARRB2,RPS9,0,train
ARRB2,SERPINA5,1,train
ARRB2,SSR4,0,train
ATP11B,APOA2,1,train
ATP11B,CALR,0,train
ATP11B,CAMK2N1,1,train
ATP11B,CRIP1,0,train
ATP11B,GCHFR,0,train
ATP11B,GLRX,1,train
ATP11B,HMGB1,0,train
ATP11B,HSBP1,0,train
ATP11B,HSD17B10,0,train
ATP11B,HSP90AA1,0,train
ATP11B,MT-ATP6,1,train
ATP11B,MT-CO2,0,train
ATP11B,MT-ND1,0,train
ATP11B,MT-ND2,1,train
ATP11B,NDUFB10,0,train
ATP11B,NKD1,0,train
ATP11B,PTMA,0,train
ATP11B,TPT1,1,train
ATP2A2,DDX17,0,train
ATP2A2,HSPA5,1,train
ATP2A2,MANF,1,train
ATP2A2,PDIA4,1,train
ATP2A2,PPIB,1,train
ATP5F1A,CCPG1,1,train
ATP5F1A,DBI,0,train
ATP5F1A,EEF1B2,1,train
ATP5F1A,EIF1,1,train
ATP5F1A,OAZ1,0,train
ATP5F1A,RPL12,1,train
ATP5F1A,RPL26,1,train
ATP5F1A,RPL37A,1,train
ATP5F1A,RPL4,1,train
ATP5F1A,RPL9,1,train
ATP5F1A,RPS12,1,train
ATP5F1A,RPS18,1,train
ATP5F1A,RPS23,1,train
ATP5F1A,RPS6,1,train
ATP5F1A,SCD,0,train
ATP5F1A,TRIB3,1,train
ATP5F1C,AKR7A2,0,train
ATP5F1C,CALR,0,train
ATP5F1C,CAMK2N1,1,train
ATP5F1C,DCTPP1,0,train
ATP5F1C,EIF1,1,train
ATP5F1C,FASN,0,train
ATP5F1C,HMGB1,0,train
ATP5F1C,HSPE1,0,train
ATP5F1C,MCM3,0,train
ATP5F1C,OAZ1,0,train
ATP5F1C,PTMA,0,train
ATP5F1C,RPL12,1,train
ATP5F1C,RPL26,1,train
ATP5F1C,SCD,0,train
ATP5F1C,TMA7,0,train
ATP5MF,CALR,0,train
ATP5MF,CEBPB,1,train
ATP5MF,DBI,0,train
ATP5MF,EIF1,1,train
ATP5MF,KRT18,0,train
ATP5MF,RACK1,1,train
ATP5MF,RPL12,1,train
ATP5MF,RPL26,1,train
ATP5MF,RPL9,1,train
ATP5MF,RPS6,1,train
ATP5MF,SARS,1,train
ATP5MF,SCD,0,train
ATP5MF,TPT1,1,train
ATP5MF,TRIB3,1,train
ATP5PD,CALR,0,train
ATP5PD,CEBPB,1,train
ATP5PD,DBI,0,train
ATP5PD,EEF1A1,1,train
ATP5PD,EEF1B2,1,train
ATP5PD,EEF2,1,train
ATP5PD,EIF1,1,train
ATP5PD,RPL12,1,train
ATP5PD,RPL13,1,train
ATP5PD,RPL26,1,train
ATP5PD,RPL5,1,train
ATP5PD,RPL9,1,train
ATP5PD,RPS12,1,train
ATP5PD,RPS6,1,train
ATP5PD,SLC25A6,1,train
ATP5PD,TPT1,1,train
ATP5PD,TRIB3,1,train
ATP5PO,CALR,0,train
ATP5PO,DBI,0,train
ATP5PO,EEF1A1,1,train
ATP5PO,EEF1B2,1,train
ATP5PO,EIF1,1,train
ATP5PO,PSAT1,1,train
ATP5PO,RPL12,1,train
ATP5PO,RPL13A,1,train
ATP5PO,RPL26,1,train
ATP5PO,RPS15A,1,train
ATP5PO,RPS6,1,train
ATP5PO,SCD,0,train
ATP5PO,TPT1,1,train
ATP5PO,TRIB3,1,train
ATP6AP1,DHCR7,1,train
ATP6AP1,FN1,1,train
ATP6AP1,GNAS,1,train
ATP6AP1,HMGB1,0,train
ATP6AP1,HMGCS1,1,train
ATP6AP1,HSPE1,0,train
ATP6AP1,IDI1,1,train
ATP6AP1,JUND,1,train
ATP6AP1,LCN15,1,train
ATP6AP1,MSMO1,1,train
ATP6AP1,PTMA,0,train
ATP6AP1,RANBP1,0,train
ATP6AP1,SCD,1,train
ATP6AP1,SQLE,1,train
ATP6AP1,TGFBI,1,train
ATP6AP1,UBC,1,train
ATP6V0B,C1QBP,0,train
ATP6V0B,EIF5A,0,train
ATP6V0B,ERRFI1,1,train
ATP6V0B,FN1,1,train
ATP6V0B,HMGCS1,1,train
ATP6V0B,HSP90AA1,0,train
ATP6V0B,IDI1,1,train
ATP6V0B,JUND,1,train
ATP6V0B,LCN15,1,train
ATP6V0B,MSMO1,1,train
ATP6V0B,NQO1,0,train
ATP6V0B,PLIN2,1,train
ATP6V0B,PRDX1,0,train
ATP6V0B,PTMA,0,train
ATP6V0B,SCD,1,train
ATP6V0C,CALR,0,train
ATP6V0C,DST,1,train
ATP6V0C,EIF1,1,train
ATP6V0C,FABP5,0,train
ATP6V0C,HMGCS1,1,train
ATP6V0C,HSP90B1,0,train
ATP6V0C,HSPE1,0,train
ATP6V0C,JUND,1,train
ATP6V0C,MSMO1,1,train
ATP6V0C,MVD,1,train
ATP6V0C,NCL,0,train
ATP6V0C,PRDX1,0,train
ATP6V0C,PTMA,0,train
ATP6V0C,SCD,1,train
ATP6V0C,TRIB3,1,train
ATP6V0C,TUBA1B,0,train
ATP6V1A,DHCR7,1,train
ATP6V1A,FN1,1,train
ATP6V1A,GNAS,1,train
