pert,gene,label,split
AAMP,12-oxidative phosphorylation,1,train
AAMP,14-erythroid differentiation,1,train
AAMP,21-growth signaling,1,train
AAMP,22-growth and targets of Myc,0,train
AAMP,8-translation,0,train
AAR2,12-oxidative phosphorylation,1,train
AAR2,15-proteasome genes,1,train
AAR2,21-growth signaling,1,train
AAR2,22-growth and targets of Myc,0,train
AAR2,7-translation,0,train
AAR2,8-translation,0,train
AAR2,9-translation,0,train
AARS,10-unfolded protein response and mTORC1 signaling,1,train
AARS,11-unfolded protein response and mTORC1 signaling,1,train
AARS,12-oxidative phosphorylation,0,train
AARS,13-erythroid differentiation,0,train
AARS,14-erythroid differentiation,1,train
AARS,15-proteasome genes,0,train
AARS,17-myeloid differentiation,1,train
AARS,18-cell cycle,0,train
AARS,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
AARS,20-cell cycle,0,train
AARS,22-growth and targets of Myc,0,train
AARS,23-hnRNP genes,0,train
AARS,24-growth and targets of Myc,0,train
AARS,3-unfolded protein response,1,train
AARS,7-translation,1,train
AARS,8-translation,0,train
AARS2,10-unfolded protein response and mTORC1 signaling,1,train
AARS2,12-oxidative phosphorylation,0,train
AARS2,15-proteasome genes,0,train
AARS2,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
AARS2,22-growth and targets of Myc,0,train
AARS2,23-hnRNP genes,0,train
AARS2,24-growth and targets of Myc,0,train
AARS2,7-translation,1,train
AARS2,8-translation,1,train
AARS2,9-translation,1,train
ABCB10,11-unfolded protein response and mTORC1 signaling,0,train
ABCB10,13-erythroid differentiation,1,train
ABCB10,14-erythroid differentiation,1,train
ABCB10,23-hnRNP genes,0,train
ABCB10,24-growth and targets of Myc,0,train
ABCB7,15-proteasome genes,0,train
ABCB7,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ABCB7,22-growth and targets of Myc,0,train
ABCB7,23-hnRNP genes,0,train
ABCB7,24-growth and targets of Myc,0,train
ABCE1,11-unfolded protein response and mTORC1 signaling,0,train
ABCE1,12-oxidative phosphorylation,1,train
ABCE1,14-erythroid differentiation,1,train
ABCE1,16-NFkB signaling,1,train
ABCE1,17-myeloid differentiation,1,train
ABCE1,18-cell cycle,0,train
ABCE1,20-cell cycle,0,train
ABCE1,21-growth signaling,1,train
ABCE1,22-growth and targets of Myc,0,train
ABCE1,23-hnRNP genes,0,train
ABCE1,24-growth and targets of Myc,0,train
ABCE1,7-translation,0,train
ABCE1,8-translation,0,train
ABCE1,9-translation,0,train
ABT1,21-growth signaling,1,train
ABT1,22-growth and targets of Myc,0,train
ABT1,7-translation,0,train
ABT1,8-translation,0,train
ABT1,9-translation,0,train
ACAD10,10-unfolded protein response and mTORC1 signaling,1,train
ACAD10,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ACAD10,22-growth and targets of Myc,0,train
ACAD10,24-growth and targets of Myc,0,train
ACAD10,7-translation,1,train
ACAD10,9-translation,1,train
ACSL3,14-erythroid differentiation,1,train
ACSL3,17-myeloid differentiation,1,train
ACSL3,22-growth and targets of Myc,0,train
ACSS2,10-unfolded protein response and mTORC1 signaling,1,train
ACSS2,11-unfolded protein response and mTORC1 signaling,1,train
ACSS2,13-erythroid differentiation,0,train
ACSS2,15-proteasome genes,0,train
ACSS2,17-myeloid differentiation,1,train
ACSS2,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ACSS2,23-hnRNP genes,0,train
ACSS2,7-translation,1,train
ACSS2,8-translation,1,train
ACSS2,9-translation,1,train
ACTL6A,10-unfolded protein response and mTORC1 signaling,1,train
ACTL6A,12-oxidative phosphorylation,0,train
ACTL6A,17-myeloid differentiation,0,train
ACTL6A,23-hnRNP genes,0,train
ACTL6A,24-growth and targets of Myc,0,train
ACTL6A,3-unfolded protein response,0,train
ACTL6A,6-dysregulated lncRNA/antisense transcripts,1,train
ACTR5,12-oxidative phosphorylation,1,train
ACTR5,17-myeloid differentiation,0,train
ACTR5,6-dysregulated lncRNA/antisense transcripts,1,train
ACTR5,7-translation,0,train
ACTR5,8-translation,0,train
ACTR6,10-unfolded protein response and mTORC1 signaling,1,train
ACTR6,12-oxidative phosphorylation,0,train
ACTR6,15-proteasome genes,0,train
ACTR6,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ACTR6,22-growth and targets of Myc,0,train
ACTR6,23-hnRNP genes,0,train
ACTR6,24-growth and targets of Myc,0,train
ACTR6,7-translation,1,train
ACTR8,10-unfolded protein response and mTORC1 signaling,0,train
ACTR8,11-unfolded protein response and mTORC1 signaling,0,train
ACTR8,13-erythroid differentiation,0,train
ACTR8,15-proteasome genes,1,train
ACTR8,17-myeloid differentiation,1,train
ACTR8,22-growth and targets of Myc,0,train
ACTR8,6-dysregulated lncRNA/antisense transcripts,1,train
ACTR8,7-translation,0,train
ACTR8,8-translation,0,train
ADAM10,10-unfolded protein response and mTORC1 signaling,0,train
ADAM10,11-unfolded protein response and mTORC1 signaling,0,train
ADAM10,14-erythroid differentiation,1,train
ADAM10,15-proteasome genes,0,train
ADAM10,16-NFkB signaling,1,train
ADAM10,17-myeloid differentiation,1,train
ADAM10,18-cell cycle,0,train
ADAM10,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ADAM10,20-cell cycle,0,train
ADAM10,22-growth and targets of Myc,0,train
ADAM10,23-hnRNP genes,0,train
ADAM10,24-growth and targets of Myc,0,train
ADAM10,7-translation,0,train
ADAM10,8-translation,0,train
ADAM10,9-translation,0,train
ADNP2,11-unfolded protein response and mTORC1 signaling,0,train
ADNP2,15-proteasome genes,0,train
ADNP2,17-myeloid differentiation,0,train
ADNP2,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ADNP2,21-growth signaling,0,train
ADNP2,23-hnRNP genes,0,train
ADNP2,24-growth and targets of Myc,0,train
ADNP2,7-translation,1,train
ADNP2,8-translation,1,train
ADNP2,9-translation,1,train
ADO,13-erythroid differentiation,0,train
ADO,15-proteasome genes,0,train
ADO,18-cell cycle,0,train
ADO,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ADO,22-growth and targets of Myc,0,train
ADO,23-hnRNP genes,0,train
ADO,24-growth and targets of Myc,0,train
ADO,3-unfolded protein response,0,train
ADO,7-translation,1,train
ADO,8-translation,1,train
ADO,9-translation,1,train
ADSL,10-unfolded protein response and mTORC1 signaling,0,train
ADSL,11-unfolded protein response and mTORC1 signaling,0,train
ADSL,13-erythroid differentiation,1,train
ADSL,15-proteasome genes,0,train
ADSL,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ADSL,22-growth and targets of Myc,0,train
ADSL,23-hnRNP genes,0,train
ADSL,24-growth and targets of Myc,0,train
ADSL,6-dysregulated lncRNA/antisense transcripts,1,train
ADSS,13-erythroid differentiation,1,train
ADSS,14-erythroid differentiation,1,train
ADSS,15-proteasome genes,0,train
ADSS,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ADSS,23-hnRNP genes,0,train
ADSS,24-growth and targets of Myc,0,train
ADSS,6-dysregulated lncRNA/antisense transcripts,1,train
AFG3L2,10-unfolded protein response and mTORC1 signaling,1,train
AFG3L2,11-unfolded protein response and mTORC1 signaling,1,train
AFG3L2,17-myeloid differentiation,1,train
AFG3L2,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
AFG3L2,22-growth and targets of Myc,0,train
AFG3L2,23-hnRNP genes,0,train
AFG3L2,24-growth and targets of Myc,0,train
AFG3L2,3-unfolded protein response,1,train
AFG3L2,7-translation,1,train
AFG3L2,9-translation,1,train
AHCY,10-unfolded protein response and mTORC1 signaling,0,train
AHCY,11-unfolded protein response and mTORC1 signaling,0,train
AHCY,13-erythroid differentiation,1,train
AHCY,14-erythroid differentiation,1,train
AHCY,17-myeloid differentiation,0,train
AHCY,23-hnRNP genes,0,train
AHCY,24-growth and targets of Myc,0,train
AHCY,6-dysregulated lncRNA/antisense transcripts,0,train
AHCY,7-translation,0,train
AHCY,8-translation,0,train
AHCY,9-translation,0,train
AKIRIN2,13-erythroid differentiation,1,train
AKIRIN2,23-hnRNP genes,0,train
AKIRIN2,24-growth and targets of Myc,0,train
AKIRIN2,6-dysregulated lncRNA/antisense transcripts,0,train
ALAS1,14-erythroid differentiation,1,train
ALAS1,17-myeloid differentiation,0,train
ALAS1,23-hnRNP genes,0,train
ALAS1,6-dysregulated lncRNA/antisense transcripts,0,train
ALAS1,7-translation,1,train
ALAS1,8-translation,1,train
ALAS1,9-translation,1,train
ALDOA,10-unfolded protein response and mTORC1 signaling,0,train
ALDOA,11-unfolded protein response and mTORC1 signaling,0,train
ALDOA,12-oxidative phosphorylation,0,train
ALDOA,13-erythroid differentiation,1,train
ALDOA,14-erythroid differentiation,1,train
ALDOA,15-proteasome genes,0,train
ALDOA,16-NFkB signaling,0,train
ALDOA,17-myeloid differentiation,0,train
ALDOA,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ALDOA,21-growth signaling,0,train
ALDOA,22-growth and targets of Myc,0,train
ALDOA,23-hnRNP genes,0,train
ALDOA,24-growth and targets of Myc,0,train
ALDOA,3-unfolded protein response,0,train
ALDOA,6-dysregulated lncRNA/antisense transcripts,1,train
ALDOA,7-translation,1,train
ALG14,15-proteasome genes,0,train
ALG14,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ALG14,24-growth and targets of Myc,0,train
ALG14,3-unfolded protein response,1,train
ANKRD17,11-unfolded protein response and mTORC1 signaling,0,train
ANKRD17,13-erythroid differentiation,1,train
ANKRD17,16-NFkB signaling,1,train
ANKRD17,17-myeloid differentiation,1,train
ANKRD17,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ANKRD17,22-growth and targets of Myc,0,train
ANKRD17,23-hnRNP genes,0,train
ANKRD17,24-growth and targets of Myc,0,train
ANKRD17,6-dysregulated lncRNA/antisense transcripts,1,train
ANKRD39,14-erythroid differentiation,1,train
ANKRD39,18-cell cycle,0,train
ANKRD39,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ANKRD39,22-growth and targets of Myc,0,train
ANKRD39,23-hnRNP genes,0,train
ANKRD39,24-growth and targets of Myc,0,train
ANKRD39,8-translation,0,train
ANKRD39,9-translation,0,train
