pert,gene,label,split
AAMP,ANP32B,0,train
AAMP,DEK,0,train
AAMP,HMGB1,0,train
AAMP,HNRNPA2B1,0,train
AAMP,HSP90AA1,0,train
AAMP,HSPD1,0,train
AAMP,NPM1,0,train
AAMP,PCLAF,0,train
AAMP,PTMA,0,train
AAMP,RPL39,1,train
AAMP,RPS18,1,train
AAMP,RPS19,1,train
AAMP,STMN1,0,train
AAMP,TUBA1B,0,train
AAMP,VIM,0,train
AARS,ACTB,0,train
AARS,ATF4,1,train
AARS,CALR,0,train
AARS,CAV1,0,train
AARS,EIF1,1,train
AARS,HMGB1,0,train
AARS,HNRNPA2B1,0,train
AARS,MAP1LC3B,1,train
AARS,MT-CO2,0,train
AARS,MT-ND2,0,train
AARS,MT-ND5,0,train
AARS,PTMA,0,train
AARS,RACK1,1,train
AARS,SQSTM1,1,train
AARS,STMN1,0,train
AARS,TPT1,1,train
AARS,TUBA1B,0,train
AASDHPPT,ANP32B,0,train
AASDHPPT,EEF1A1,1,train
AASDHPPT,FRMD6,1,train
AASDHPPT,JPT1,0,train
AASDHPPT,MDM2,1,train
AASDHPPT,NASP,0,train
AASDHPPT,PDCD5,0,train
AASDHPPT,STMN1,0,train
AASDHPPT,TUBB,0,train
AATF,HMGB1,0,train
AATF,HMGN2,0,train
AATF,HNRNPA1,0,train
AATF,HNRNPA2B1,0,train
AATF,HSPD1,0,train
AATF,NPM1,0,train
AATF,PCLAF,0,train
AATF,PHPT1,1,train
AATF,PTMA,0,train
AATF,STMN1,0,train
AATF,TUBA1B,0,train
AATF,TUBB4B,0,train
ABCB7,ENO1,0,train
ABCB7,HMGB1,0,train
ABCB7,HMGN2,0,train
ABCB7,HNRNPA1,0,train
ABCB7,HNRNPA2B1,0,train
ABCB7,LDHA,0,train
ABCB7,NPM1,0,train
ABCB7,PHPT1,1,train
ABCB7,PTMA,0,train
ABCB7,RPLP1,1,train
ABCB7,RPS19,1,train
ABCB7,RPS27,1,train
ABCB7,SRSF7,0,train
ABCB7,STMN1,0,train
ABCB7,TUBA1B,0,train
ABCB7,TUBB4B,0,train
ABCE1,ATF4,1,train
ABCE1,BTG1,1,train
ABCE1,EEF1A1,0,train
ABCE1,EIF1,1,train
ABCE1,RPL14,0,train
ABCE1,RPL27A,0,train
ABCE1,RPL35,0,train
ABCE1,RPS15,0,train
ABCE1,RPS21,0,train
ABCE1,RPS27A,0,train
ABCE1,RPS3,0,train
ABCE1,RPS3A,0,train
ABCE1,RPS6,0,train
ABCE1,RPS7,0,train
ABCE1,RPSA,0,train
ABCF1,ACTB,0,train
ABCF1,BTG1,1,train
ABCF1,CALR,0,train
ABCF1,EIF1,1,train
ABCF1,HSP90AA1,0,train
ABCF1,HSP90B1,0,train
ABCF1,MT-CO2,0,train
ABCF1,MT-ND2,0,train
ABCF1,MT-ND5,0,train
ABCF1,PTMA,0,train
ABCF1,RPL26,1,train
ABCF1,RPL39,1,train
ABCF1,RPL41,1,train
ABCF1,RPL6,1,train
ABCF1,RPS27,1,train
ABCF1,RPS28,1,train
ABCF1,TUBB4B,0,train
ABCG1,C12orf57,0,train
ABCG1,CTSD,0,train
ABCG1,ELOB,0,train
ABCG1,IGFBP6,0,train
ABCG1,ITGB1,1,train
ABCG1,MGST1,0,train
ABCG1,NRP1,0,train
ABCG1,RFLNB,0,train
ABCG1,RPL27A,1,train
ABCG1,RPL29,0,train
ABCG1,RPL35,0,train
ABCG1,RPL7A,0,train
ABCG1,RPS18,0,train
ABCG1,SRGN,0,train
ABCG1,THY1,0,train
ABT1,DEK,0,train
ABT1,ELOB,1,train
ABT1,ENO1,0,train
ABT1,HMGB1,0,train
ABT1,HNRNPA2B1,0,train
ABT1,HNRNPC,0,train
ABT1,NPM1,0,train
ABT1,PTMA,0,train
ABT1,SRSF3,0,train
ABT1,STMN1,0,train
ABT1,TPM2,1,train
ABT1,TUBA1B,0,train
ABT1,TUBB4B,0,train
AC118549.1,RACK1,0,train
AC118549.1,RPL13,0,train
AC118549.1,RPL15,0,train
AC118549.1,RPL26,0,train
AC118549.1,RPL29,0,train
AC118549.1,RPL36,0,train
AC118549.1,RPL7A,0,train
AC118549.1,RPL8,0,train
AC118549.1,RPL9,0,train
AC118549.1,RPS15,0,train
AC118549.1,RPS18,0,train
AC118549.1,RPS24,0,train
AC118549.1,RPS3,0,train
AC118549.1,RPS3A,0,train
AC118549.1,RPS4X,0,train
AC118549.1,RPS7,0,train
ACD,ANP32B,0,train
ACD,CACYBP,0,train
ACD,CD63,1,train
ACD,DEK,0,train
ACD,EEF1A1,1,train
ACD,H3F3B,0,train
ACD,HMGB1,0,train
ACD,HMGN2,0,train
ACD,HNRNPDL,0,train
ACD,HSP90AA1,0,train
ACD,HSPE1,0,train
ACD,NUCKS1,0,train
ACD,PTMA,0,train
ACD,RPS19,1,train
ACD,SRSF3,0,train
ACD,TUBB4B,0,train
ACOT12,AP2S1,0,train
ACOT12,ASPH,0,train
ACOT12,B4GALT1,0,train
ACOT12,CAMK2N1,0,train
ACOT12,HHIP,0,train
ACOT12,IGF2BP3,0,train
ACOT12,ITGA6,0,train
ACOT12,ME1,0,train
ACOT12,NBR1,0,train
ACOT12,PCBP2,0,train
ACOT12,PLIN3,0,train
ACOT12,RPS6KA2,0,train
ACOT12,VPS29,0,train
ACTB,ACTN4,1,train
ACTB,C12orf75,1,train
ACTB,CAVIN1,1,train
ACTB,CFL1,1,train
ACTB,CSRP1,1,train
ACTB,FLNA,1,train
ACTB,KCNMA1,1,train
ACTB,MYL6,1,train
ACTB,TAGLN,1,train
ACTB,TMEM158,1,train
ACTB,TPM2,1,train
ACTR10,ANP32B,0,train
ACTR10,CBX5,0,train
ACTR10,DEK,0,train
ACTR10,HMGB1,0,train
ACTR10,HSP90AA1,0,train
ACTR10,KPNA2,0,train
ACTR10,PTMA,0,train
ACTR10,RPS19,1,train
ACTR10,STMN1,0,train
ACTR10,TPT1,1,train
ACTR10,TUBA1B,0,train
ACTR10,TUBB4B,0,train
ACTR10,TYMS,0,train
ACTR1B,AKAP12,0,train
ACTR1B,AP1S2,0,train
ACTR1B,BEX1,0,train
ACTR1B,GOLGA4,0,train
ACTR1B,MRPL54,0,train
ACTR1B,MT-CO2,0,train
ACTR1B,MT-CYB,1,train
ACTR1B,MT-ND3,1,train
ACTR1B,PLAGL1,0,train
ACTR1B,PRDX5,0,train
ACTR1B,RPL7,0,train
ACTR1B,S100A10,0,train
ACTR1B,SH3GLB2,0,train
ACTR1B,TAF7,0,train
ACTR1B,TPP2,0,train
ACTR1B,VAMP5,0,train
ACTR2,CENPF,0,train
ACTR2,FN1,1,train
ACTR2,HMGB1,0,train
ACTR2,HSP90AA1,0,train
ACTR2,HSPD1,0,train
ACTR2,ITM2B,1,train
ACTR2,MKI67,0,train
ACTR2,PTGES3,0,train
ACTR2,PTMA,0,train
ACTR2,RAN,0,train
ACTR2,TUBA1B,0,train
ACTR2,TUBB,0,train
ACTR2,TUBB4B,0,train
ACTR5,RPL13,0,train
ACTR5,RPL26,0,train
ACTR5,RPL29,0,train
ACTR5,RPL34,0,train
ACTR5,RPL35,0,train
ACTR5,RPL37A,0,train
ACTR5,RPL6,0,train
ACTR5,RPL7,0,train
ACTR5,RPL7A,0,train
ACTR5,RPL9,0,train
ACTR5,RPS12,1,train
ACTR5,RPS18,0,train
ACTR5,RPS24,0,train
ACTR5,RPS3,0,train
ACTR5,RPS3A,0,train
ACTR6,ARPC1B,1,train
ACTR6,CAVIN1,1,train
ACTR6,CCDC80,1,train
ACTR6,CTSC,1,train
ACTR6,EIF1,1,train
ACTR6,FST,1,train
ACTR6,FXYD5,1,train
ACTR6,LDHA,0,train
ACTR6,MGST1,1,train
ACTR6,MYL12A,1,train
ACTR6,RPL13,1,train
ACTR6,RPL15,1,train
ACTR6,RPL26L1,0,train
ACTR6,RPL6,1,train
ACTR6,RPS19,1,train
ACTR6,TAGLN,1,train
ACTR6,TXN,1,train
ACTR8,EEF1B2,0,train
ACTR8,EXOSC8,0,train
ACTR8,HMGB1,0,train
ACTR8,MT-CO2,1,train
ACTR8,NACA,0,train
ACTR8,RPL24,0,train
ACTR8,RPL26,0,train
ACTR8,RPL29,0,train
ACTR8,RPL35,0,train
ACTR8,RPL7A,0,train
ACTR8,RPS15,0,train
ACTR8,RPS18,0,train
ACTR8,RPS24,0,train
ADAM10,ARL4C,0,train
ADAM10,CCN2,1,train
ADAM10,MYL6,1,train
ADAM10,NDUFA4,1,train
ADAM10,RPL3,0,train
ADAM10,RPL5,0,train
ADAM10,RPS3,0,train
ADAM10,RPS3A,0,train
ADAM10,SERPINE1,1,train
ADAM10,SH3BGRL3,1,train
ADAM10,SRGN,1,train
ADAM10,STC2,0,train
ADAM10,TKT,0,train
ADAM10,TUBA1B,0,train
ADAT3,CAV1,0,train
ADAT3,CEP55,0,train
ADAT3,EEF1A1,1,train
ADAT3,HSP90AA1,0,train
ADAT3,MT2A,1,train
ADAT3,MXRA8,0,train
ADAT3,PTGES3,0,train
ADAT3,RPS12,1,train
ADAT3,RPS16,0,train
ADAT3,RPS2,1,train
ADAT3,RPSA,1,train
ADAT3,S100A6,1,train
ADAT3,SERPINH1,0,train
ADAT3,TKT,0,train
ADAT3,TUBB3,0,train
ADAT3,TUBB4B,0,train
ADAT3,UBC,1,train
ADNP2,CBX3,0,train
ADNP2,CXXC5,1,train
ADNP2,DNAJC9,0,train
ADNP2,FLOT1,0,train
ADNP2,H1FX,0,train
ADNP2,HMGB1,0,train
ADNP2,MGST1,0,train
ADNP2,MT2A,1,train
ADNP2,PHPT1,1,train
AFG3L2,EEF1A1,1,train
AFG3L2,EIF1,1,train
AFG3L2,EIF4EBP1,1,train
AFG3L2,GARS,1,train
AFG3L2,MT-CO2,0,train
AFG3L2,MT-ND1,1,train
AFG3L2,MT-ND2,1,train
AFG3L2,MT-ND3,1,train
AFG3L2,MT-ND6,0,train
AFG3L2,NUPR1,1,train
AFG3L2,PHGDH,1,train
AFG3L2,PSAT1,1,train
AFG3L2,RACK1,1,train
AFG3L2,RPL23,1,train
AFG3L2,RPS18,1,train
AFG3L2,RPS2,1,train
AFG3L2,WARS,1,train
AGBL5,ACTB,0,train
AGBL5,DEK,0,train
AGBL5,HMGB1,0,train
AGBL5,LGALS1,0,train
AGBL5,MAP1A,1,train
AGBL5,NCL,0,train
AGBL5,PCLAF,0,train
AGBL5,PSAP,1,train
AGBL5,SQSTM1,1,train
AGBL5,SRSF3,0,train
AGBL5,STMN1,0,train
AGBL5,TUBA1B,0,train
AGBL5,TUBB,0,train
AHCTF1,BEX1,0,train
AHCTF1,BNIP3,0,train
AHCTF1,CTNNAL1,0,train
AHCTF1,ENO1,0,train
AHCTF1,FUS,0,train
AHCTF1,LDHA,0,train
AHCTF1,MT-CYB,1,train
AHCTF1,PSAP,1,train
AHCTF1,RPS18,1,train
AHCTF1,RPS19,1,train
