,pert,Seahorse_Cluster,Seahorse_Cluster_Explanation
0,ACSS3,1,Increased oxygen consumption rate to extracellular acidification rate ratio
1,BID,1,Increased oxygen consumption rate to extracellular acidification rate ratio
2,PARK2,1,Increased oxygen consumption rate to extracellular acidification rate ratio
3,VDAC2,1,Increased oxygen consumption rate to extracellular acidification rate ratio
4,ACO2,2,Increased extracellular acidification rate and ATP-linked respiration
5,ANGEL2,2,Increased extracellular acidification rate and ATP-linked respiration
6,EXOG,2,Increased extracellular acidification rate and ATP-linked respiration
7,IDH3B,2,Increased extracellular acidification rate and ATP-linked respiration
8,MRPL38,2,Increased extracellular acidification rate and ATP-linked respiration
10,GLXR2,3,No change
11,LINC01184,3,No change
12,LOC284837,3,No change
13,OXCT2,3,No change
14,PNKD,3,No change
15,RAB24,3,No change
16,SFXN2,3,No change
17,SIRT4,3,No change
18,YBEY,3,No change
19,BCL2L13,4,Increased Maximal Respiration
20,DMPK,4,Increased Maximal Respiration
21,PAM16,4,Increased Maximal Respiration
22,SLC25A26,4,Increased Maximal Respiration
23,SUOX,4,Increased Maximal Respiration
24,TOMM7,4,Increased Maximal Respiration
25,AIFM2,5,Increased Proton Leak
26,MRPS14,5,Increased Proton Leak
27,RAMP2-AS1,5,Increased Proton Leak
28,SLC24A37,5,Increased Proton Leak
29,TMEM216,5,Increased Proton Leak
30,ZBED3-AS1,5,Increased Proton Leak
31,AAGEL2,6,Loss of oxidative metabolism
32,AATBC,6,Loss of oxidative metabolism
33,DCAKD,6,Loss of oxidative metabolism
34,DCXR,6,Loss of oxidative metabolism
35,EXD2,6,Loss of oxidative metabolism
36,GLRX2,6,Loss of oxidative metabolism
37,GRPEL1,6,Loss of oxidative metabolism
38,MECR,6,Loss of oxidative metabolism
39,MYO19,6,Loss of oxidative metabolism
40,NADK2,6,Loss of oxidative metabolism
41,NDUFAF1,6,Loss of oxidative metabolism
42,NTHL1,6,Loss of oxidative metabolism
43,PDK2,6,Loss of oxidative metabolism
44,PEMT,6,Loss of oxidative metabolism
45,PPTC7,6,Loss of oxidative metabolism
46,RALY-AS1,6,Loss of oxidative metabolism
47,SLC25A11,6,Loss of oxidative metabolism
